♣J,♦7,♣K,♦9,♥7 | Pair
♣J,♦7,♣K,♦9,♣9 | Pair
♣J,♦7,♣K,♦9,♦J | Pair
♣J,♦7,♣K,♥7,♥A | Pair
♣J,♦7,♣K,♥7,♥3 | Pair
♣J,♦7,♣K,♥7,♥Q | Pair
♣J,♦7,♣K,♥7,♠6 | Pair
♣J,♦7,♣K,♥7,♣9 | Pair
♣J,♦7,♣K,♥7,♠Q | Pair
♣J,♦7,♣K,♥7,♦J | Two Pairs
♣J,♦7,♣K,♥A,♦J | Pair
♣J,♦7,♣K,♥3,♦J | Pair
♣J,♦7,♣K,♥Q,♠Q | Pair
♣J,♦7,♣K,♥Q,♦J | Pair
♣J,♦7,♣K,♠6,♦J | Pair
♣J,♦7,♣K,♣9,♦J | Pair
♣J,♦7,♣K,♠Q,♦J | Pair
♣J,♦7,♦9,♥7,♥A | Pair
♣J,♦7,♦9,♥7,♥3 | Pair
♣J,♦7,♦9,♥7,♥Q | Pair
♣J,♦7,♦9,♥7,♠6 | Pair
♣J,♦7,♦9,♥7,♣9 | Two Pairs
♣J,♦7,♦9,♥7,♠Q | Pair
♣J,♦7,♦9,♥7,♦J | Two Pairs
♣J,♦7,♦9,♥A,♣9 | Pair
♣J,♦7,♦9,♥A,♦J | Pair
♣J,♦7,♦9,♥3,♣9 | Pair
♣J,♦7,♦9,♥3,♦J | Pair
♣J,♦7,♦9,♥Q,♣9 | Pair
♣J,♦7,♦9,♥Q,♠Q | Pair
♣J,♦7,♦9,♥Q,♦J | Pair
♣J,♦7,♦9,♠6,♣9 | Pair
♣J,♦7,♦9,♠6,♦J | Pair
♣J,♦7,♦9,♣9,♠Q | Pair
♣J,♦7,♦9,♣9,♦J | Two Pairs
♣J,♦7,♦9,♠Q,♦J | Pair
♣J,♦7,♥7,♥A,♥3 | Pair
♣J,♦7,♥7,♥A,♥Q | Pair
♣J,♦7,♥7,♥A,♠6 | Pair
♣J,♦7,♥7,♥A,♣9 | Pair
♣J,♦7,♥7,♥A,♠Q | Pair
♣J,♦7,♥7,♥A,♦J | Two Pairs
♣J,♦7,♥7,♥3,♥Q | Pair
♣J,♦7,♥7,♥3,♠6 | Pair
