♥8,♦10,♥10,♠6,♥9 | Pair
♥8,♦10,♥10,♠6,♣J | Pair
♥8,♦10,♥10,♠6,♣6 | Two Pairs
♥8,♦10,♥10,♠6,♥K | Pair
♥8,♦10,♥10,♠6,♣10 | Three Of A Kind
♥8,♦10,♥10,♠6,♣2 | Pair
♥8,♦10,♥10,♠6,♦A | Pair
♥8,♦10,♥10,♠6,♣K | Pair
♥8,♦10,♥10,♠6,♠3 | Pair
♥8,♦10,♥10,♥9,♣J | Pair
♥8,♦10,♥10,♥9,♣6 | Pair
♥8,♦10,♥10,♥9,♥K | Pair
♥8,♦10,♥10,♥9,♣10 | Three Of A Kind
♥8,♦10,♥10,♥9,♣2 | Pair
♥8,♦10,♥10,♥9,♦A | Pair
♥8,♦10,♥10,♥9,♣K | Pair
♥8,♦10,♥10,♥9,♠3 | Pair
♥8,♦10,♥10,♣J,♣6 | Pair
♥8,♦10,♥10,♣J,♥K | Pair
♥8,♦10,♥10,♣J,♣10 | Three Of A Kind
♥8,♦10,♥10,♣J,♣2 | Pair
♥8,♦10,♥10,♣J,♦A | Pair
♥8,♦10,♥10,♣J,♣K | Pair
♥8,♦10,♥10,♣J,♠3 | Pair
♥8,♦10,♥10,♣6,♥K | Pair
♥8,♦10,♥10,♣6,♣10 | Three Of A Kind
♥8,♦10,♥10,♣6,♣2 | Pair
♥8,♦10,♥10,♣6,♦A | Pair
♥8,♦10,♥10,♣6,♣K | Pair
♥8,♦10,♥10,♣6,♠3 | Pair
♥8,♦10,♥10,♥K,♣10 | Three Of A Kind
♥8,♦10,♥10,♥K,♣2 | Pair
♥8,♦10,♥10,♥K,♦A | Pair
♥8,♦10,♥10,♥K,♣K | Two Pairs
♥8,♦10,♥10,♥K,♠3 | Pair
♥8,♦10,♥10,♣10,♣2 | Three Of A Kind
♥8,♦10,♥10,♣10,♦A | Three Of A Kind
♥8,♦10,♥10,♣10,♣K | Three Of A Kind
♥8,♦10,♥10,♣10,♠3 | Three Of A Kind
♥8,♦10,♥10,♣2,♦A | Pair
♥8,♦10,♥10,♣2,♣K | Pair
♥8,♦10,♥10,♣2,♠3 | Pair
♥8,♦10,♥10,♦A,♣K | Pair
♥8,♦10,♥10,♦A,♠3 | Pair
♥8,♦10,♥10,♣K,♠3 | Pair
♥8,♦10,♠6,♥9,♣6 | Pair
♥8,♦10,♠6,♥9,♣10 | Pair
♥8,♦10,♠6,♣J,♣6 | Pair
♥8,♦10,♠6,♣J,♣10 | Pair
♥8,♦10,♠6,♣6,♥K | Pair
♥8,♦10,♠6,♣6,♣10 | Two Pairs
♥8,♦10,♠6,♣6,♣2 | Pair
♥8,♦10,♠6,♣6,♦A | Pair
♥8,♦10,♠6,♣6,♣K | Pair
♥8,♦10,♠6,♣6,♠3 | Pair
♥8,♦10,♠6,♥K,♣10 | Pair
♥8,♦10,♠6,♥K,♣K | Pair
♥8,♦10,♠6,♣10,♣2 | Pair
♥8,♦10,♠6,♣10,♦A | Pair
♥8,♦10,♠6,♣10,♣K | Pair
♥8,♦10,♠6,♣10,♠3 | Pair
♥8,♦10,♥9,♣J,♣10 | Pair
♥8,♦10,♥9,♣6,♣10 | Pair
♥8,♦10,♥9,♥K,♣10 | Pair
♥8,♦10,♥9,♥K,♣K | Pair
♥8,♦10,♥9,♣10,♣2 | Pair
♥8,♦10,♥9,♣10,♦A | Pair
♥8,♦10,♥9,♣10,♣K | Pair
♥8,♦10,♥9,♣10,♠3 | Pair
♥8,♦10,♣J,♣6,♣10 | Pair
♥8,♦10,♣J,♥K,♣10 | Pair
♥8,♦10,♣J,♥K,♣K | Pair
♥8,♦10,♣J,♣10,♣2 | Pair
♥8,♦10,♣J,♣10,♦A | Pair
♥8,♦10,♣J,♣10,♣K | Pair
♥8,♦10,♣J,♣10,♠3 | Pair
♥8,♦10,♣6,♥K,♣10 | Pair
♥8,♦10,♣6,♥K,♣K | Pair
♥8,♦10,♣6,♣10,♣2 | Pair
♥8,♦10,♣6,♣10,♦A | Pair
♥8,♦10,♣6,♣10,♣K | Pair
♥8,♦10,♣6,♣10,♠3 | Pair
♥8,♦10,♥K,♣10,♣2 | Pair
♥8,♦10,♥K,♣10,♦A | Pair
♥8,♦10,♥K,♣10,♣K | Two Pairs
♥8,♦10,♥K,♣10,♠3 | Pair
♥8,♦10,♥K,♣2,♣K | Pair
♥8,♦10,♥K,♦A,♣K | Pair
♥8,♦10,♥K,♣K,♠3 | Pair
♥8,♦10,♣10,♣2,♦A | Pair
♥8,♦10,♣10,♣2,♣K | Pair
♥8,♦10,♣10,♣2,♠3 | Pair
♥8,♦10,♣10,♦A,♣K | Pair
♥8,♦10,♣10,♦A,♠3 | Pair
♥8,♦10,♣10,♣K,♠3 | Pair
♥8,♥10,♠6,♥9,♣6 | Pair
♥8,♥10,♠6,♥9,♣10 | Pair
♥8,♥10,♠6,♣J,♣6 | Pair
♥8,♥10,♠6,♣J,♣10 | Pair
♥8,♥10,♠6,♣6,♥K | Pair
♥8,♥10,♠6,♣6,♣10 | Two Pairs
♥8,♥10,♠6,♣6,♣2 | Pair
♥8,♥10,♠6,♣6,♦A | Pair
♥8,♥10,♠6,♣6,♣K | Pair
♥8,♥10,♠6,♣6,♠3 | Pair
♥8,♥10,♠6,♥K,♣10 | Pair
♥8,♥10,♠6,♥K,♣K | Pair
♥8,♥10,♠6,♣10,♣2 | Pair
♥8,♥10,♠6,♣10,♦A | Pair
♥8,♥10,♠6,♣10,♣K | Pair
♥8,♥10,♠6,♣10,♠3 | Pair
♥8,♥10,♥9,♣J,♣10 | Pair
♥8,♥10,♥9,♣6,♣10 | Pair
♥8,♥10,♥9,♥K,♣10 | Pair
♥8,♥10,♥9,♥K,♣K | Pair
♥8,♥10,♥9,♣10,♣2 | Pair
♥8,♥10,♥9,♣10,♦A | Pair
♥8,♥10,♥9,♣10,♣K | Pair
♥8,♥10,♥9,♣10,♠3 | Pair
♥8,♥10,♣J,♣6,♣10 | Pair
