♣A,♣9,♦8,♠7,♥A | Pair
♣A,♣9,♦8,♠7,♠9 | Pair
♣A,♣9,♦8,♠7,♠8 | Pair
♣A,♣9,♦8,♥A,♦5 | Pair
♣A,♣9,♦8,♥A,♠9 | Two Pairs
♣A,♣9,♦8,♥A,♣3 | Pair
♣A,♣9,♦8,♥A,♣2 | Pair
♣A,♣9,♦8,♥A,♠8 | Two Pairs
♣A,♣9,♦8,♦5,♠9 | Pair
♣A,♣9,♦8,♦5,♠8 | Pair
♣A,♣9,♦8,♠9,♣3 | Pair
♣A,♣9,♦8,♠9,♣2 | Pair
♣A,♣9,♦8,♠9,♠8 | Two Pairs
♣A,♣9,♦8,♣3,♠8 | Pair
♣A,♣9,♦8,♣2,♠8 | Pair
♣A,♣9,♠7,♥A,♦5 | Pair
♣A,♣9,♠7,♥A,♠9 | Two Pairs
♣A,♣9,♠7,♥A,♣3 | Pair
♣A,♣9,♠7,♥A,♣2 | Pair
♣A,♣9,♠7,♥A,♠8 | Pair
♣A,♣9,♠7,♦5,♠9 | Pair
♣A,♣9,♠7,♠9,♣3 | Pair
♣A,♣9,♠7,♠9,♣2 | Pair
♣A,♣9,♠7,♠9,♠8 | Pair
♣A,♣9,♥A,♦5,♠9 | Two Pairs
♣A,♣9,♥A,♦5,♣3 | Pair
♣A,♣9,♥A,♦5,♣2 | Pair
♣A,♣9,♥A,♦5,♠8 | Pair
♣A,♣9,♥A,♠9,♣3 | Two Pairs
♣A,♣9,♥A,♠9,♣2 | Two Pairs
♣A,♣9,♥A,♠9,♠8 | Two Pairs
♣A,♣9,♥A,♣3,♣2 | Pair
♣A,♣9,♥A,♣3,♠8 | Pair
♣A,♣9,♥A,♣2,♠8 | Pair
♣A,♣9,♦5,♠9,♣3 | Pair
♣A,♣9,♦5,♠9,♣2 | Pair
♣A,♣9,♦5,♠9,♠8 | Pair
♣A,♣9,♠9,♣3,♣2 | Pair
♣A,♣9,♠9,♣3,♠8 | Pair
♣A,♣9,♠9,♣2,♠8 | Pair
♣A,♦8,♠7,♥A,♦5 | Pair
♣A,♦8,♠7,♥A,♠9 | Pair
♣A,♦8,♠7,♥A,♣3 | Pair
♣A,♦8,♠7,♥A,♣2 | Pair
♣A,♦8,♠7,♥A,♠8 | Two Pairs
♣A,♦8,♠7,♦5,♠8 | Pair
♣A,♦8,♠7,♠9,♠8 | Pair
♣A,♦8,♠7,♣3,♠8 | Pair
♣A,♦8,♠7,♣2,♠8 | Pair
♣A,♦8,♥A,♦5,♠9 | Pair
♣A,♦8,♥A,♦5,♣3 | Pair
♣A,♦8,♥A,♦5,♣2 | Pair
♣A,♦8,♥A,♦5,♠8 | Two Pairs
♣A,♦8,♥A,♠9,♣3 | Pair
♣A,♦8,♥A,♠9,♣2 | Pair
♣A,♦8,♥A,♠9,♠8 | Two Pairs
♣A,♦8,♥A,♣3,♣2 | Pair
♣A,♦8,♥A,♣3,♠8 | Two Pairs
♣A,♦8,♥A,♣2,♠8 | Two Pairs
♣A,♦8,♦5,♠9,♠8 | Pair
♣A,♦8,♦5,♣3,♠8 | Pair
♣A,♦8,♦5,♣2,♠8 | Pair
♣A,♦8,♠9,♣3,♠8 | Pair
♣A,♦8,♠9,♣2,♠8 | Pair
♣A,♦8,♣3,♣2,♠8 | Pair
♣A,♠7,♥A,♦5,♠9 | Pair
♣A,♠7,♥A,♦5,♣3 | Pair
♣A,♠7,♥A,♦5,♣2 | Pair
♣A,♠7,♥A,♦5,♠8 | Pair
♣A,♠7,♥A,♠9,♣3 | Pair
♣A,♠7,♥A,♠9,♣2 | Pair
♣A,♠7,♥A,♠9,♠8 | Pair
♣A,♠7,♥A,♣3,♣2 | Pair
♣A,♠7,♥A,♣3,♠8 | Pair
♣A,♠7,♥A,♣2,♠8 | Pair
♣A,♥A,♦5,♠9,♣3 | Pair
♣A,♥A,♦5,♠9,♣2 | Pair
♣A,♥A,♦5,♠9,♠8 | Pair
♣A,♥A,♦5,♣3,♣2 | Pair
♣A,♥A,♦5,♣3,♠8 | Pair
♣A,♥A,♦5,♣2,♠8 | Pair
♣A,♥A,♠9,♣3,♣2 | Pair
♣A,♥A,♠9,♣3,♠8 | Pair
♣A,♥A,♠9,♣2,♠8 | Pair
♣A,♥A,♣3,♣2,♠8 | Pair
♣9,♦8,♠7,♥A,♠9 | Pair
♣9,♦8,♠7,♥A,♠8 | Pair
♣9,♦8,♠7,♦5,♠9 | Pair
♣9,♦8,♠7,♦5,♠8 | Pair
♣9,♦8,♠7,♠9,♣3 | Pair
♣9,♦8,♠7,♠9,♣2 | Pair
♣9,♦8,♠7,♠9,♠8 | Two Pairs
♣9,♦8,♠7,♣3,♠8 | Pair
♣9,♦8,♠7,♣2,♠8 | Pair
♣9,♦8,♥A,♦5,♠9 | Pair
♣9,♦8,♥A,♦5,♠8 | Pair
♣9,♦8,♥A,♠9,♣3 | Pair
♣9,♦8,♥A,♠9,♣2 | Pair
♣9,♦8,♥A,♠9,♠8 | Two Pairs
♣9,♦8,♥A,♣3,♠8 | Pair
♣9,♦8,♥A,♣2,♠8 | Pair
♣9,♦8,♦5,♠9,♣3 | Pair
