♦6,♦K,♥A,♦10,♥6 | Pair
♦6,♦K,♥A,♦10,♣A | Pair
♦6,♦K,♥A,♦10,♠6 | Pair
♦6,♦K,♥A,♥2,♠2 | Pair
♦6,♦K,♥A,♥2,♥6 | Pair
♦6,♦K,♥A,♥2,♣A | Pair
♦6,♦K,♥A,♥2,♠6 | Pair
♦6,♦K,♥A,♥7,♥6 | Pair
♦6,♦K,♥A,♥7,♣A | Pair
♦6,♦K,♥A,♥7,♠6 | Pair
♦6,♦K,♥A,♣9,♥6 | Pair
♦6,♦K,♥A,♣9,♣A | Pair
♦6,♦K,♥A,♣9,♠6 | Pair
♦6,♦K,♥A,♠2,♥6 | Pair
♦6,♦K,♥A,♠2,♣A | Pair
♦6,♦K,♥A,♠2,♠6 | Pair
♦6,♦K,♥A,♠3,♥6 | Pair
♦6,♦K,♥A,♠3,♣A | Pair
♦6,♦K,♥A,♠3,♠6 | Pair
♦6,♦K,♥A,♥6,♣A | Two Pairs
♦6,♦K,♥A,♥6,♠6 | Three Of A Kind
♦6,♦K,♥A,♣A,♠6 | Two Pairs
♦6,♦K,♦10,♥2,♠2 | Pair
♦6,♦K,♦10,♥2,♥6 | Pair
♦6,♦K,♦10,♥2,♠6 | Pair
♦6,♦K,♦10,♥7,♥6 | Pair
♦6,♦K,♦10,♥7,♠6 | Pair
♦6,♦K,♦10,♣9,♥6 | Pair
♦6,♦K,♦10,♣9,♠6 | Pair
♦6,♦K,♦10,♠2,♥6 | Pair
♦6,♦K,♦10,♠2,♠6 | Pair
♦6,♦K,♦10,♠3,♥6 | Pair
♦6,♦K,♦10,♠3,♠6 | Pair
♦6,♦K,♦10,♥6,♣A | Pair
♦6,♦K,♦10,♥6,♠6 | Three Of A Kind
♦6,♦K,♦10,♣A,♠6 | Pair
♦6,♦K,♥2,♥7,♠2 | Pair
♦6,♦K,♥2,♥7,♥6 | Pair
♦6,♦K,♥2,♥7,♠6 | Pair
♦6,♦K,♥2,♣9,♠2 | Pair
♦6,♦K,♥2,♣9,♥6 | Pair
♦6,♦K,♥2,♣9,♠6 | Pair
♦6,♦K,♥2,♠2,♠3 | Pair
♦6,♦K,♥2,♠2,♥6 | Two Pairs
♦6,♦K,♥2,♠2,♣A | Pair
♦6,♦K,♥2,♠2,♠6 | Two Pairs
♦6,♦K,♥2,♠3,♥6 | Pair
♦6,♦K,♥2,♠3,♠6 | Pair
♦6,♦K,♥2,♥6,♣A | Pair
♦6,♦K,♥2,♥6,♠6 | Three Of A Kind
♦6,♦K,♥2,♣A,♠6 | Pair
♦6,♦K,♥7,♣9,♥6 | Pair
♦6,♦K,♥7,♣9,♠6 | Pair
♦6,♦K,♥7,♠2,♥6 | Pair
♦6,♦K,♥7,♠2,♠6 | Pair
♦6,♦K,♥7,♠3,♥6 | Pair
♦6,♦K,♥7,♠3,♠6 | Pair
♦6,♦K,♥7,♥6,♣A | Pair
♦6,♦K,♥7,♥6,♠6 | Three Of A Kind
♦6,♦K,♥7,♣A,♠6 | Pair
♦6,♦K,♣9,♠2,♥6 | Pair
♦6,♦K,♣9,♠2,♠6 | Pair
♦6,♦K,♣9,♠3,♥6 | Pair
♦6,♦K,♣9,♠3,♠6 | Pair
♦6,♦K,♣9,♥6,♣A | Pair
♦6,♦K,♣9,♥6,♠6 | Three Of A Kind
♦6,♦K,♣9,♣A,♠6 | Pair
♦6,♦K,♠2,♠3,♥6 | Pair
♦6,♦K,♠2,♠3,♠6 | Pair
♦6,♦K,♠2,♥6,♣A | Pair
♦6,♦K,♠2,♥6,♠6 | Three Of A Kind
♦6,♦K,♠2,♣A,♠6 | Pair
♦6,♦K,♠3,♥6,♣A | Pair
♦6,♦K,♠3,♥6,♠6 | Three Of A Kind
♦6,♦K,♠3,♣A,♠6 | Pair
♦6,♦K,♥6,♣A,♠6 | Three Of A Kind
♦6,♥A,♦10,♥2,♠2 | Pair
♦6,♥A,♦10,♥2,♥6 | Pair
♦6,♥A,♦10,♥2,♣A | Pair
♦6,♥A,♦10,♥2,♠6 | Pair
♦6,♥A,♦10,♥7,♥6 | Pair
♦6,♥A,♦10,♥7,♣A | Pair
♦6,♥A,♦10,♥7,♠6 | Pair
♦6,♥A,♦10,♣9,♥6 | Pair
♦6,♥A,♦10,♣9,♣A | Pair
♦6,♥A,♦10,♣9,♠6 | Pair
♦6,♥A,♦10,♠2,♥6 | Pair
♦6,♥A,♦10,♠2,♣A | Pair
♦6,♥A,♦10,♠2,♠6 | Pair
♦6,♥A,♦10,♠3,♥6 | Pair
♦6,♥A,♦10,♠3,♣A | Pair
♦6,♥A,♦10,♠3,♠6 | Pair
♦6,♥A,♦10,♥6,♣A | Two Pairs
♦6,♥A,♦10,♥6,♠6 | Three Of A Kind
♦6,♥A,♦10,♣A,♠6 | Two Pairs
♦6,♥A,♥2,♥7,♠2 | Pair
♦6,♥A,♥2,♥7,♥6 | Pair
♦6,♥A,♥2,♥7,♣A | Pair
♦6,♥A,♥2,♥7,♠6 | Pair
♦6,♥A,♥2,♣9,♠2 | Pair
♦6,♥A,♥2,♣9,♥6 | Pair
♦6,♥A,♥2,♣9,♣A | Pair
♦6,♥A,♥2,♣9,♠6 | Pair
♦6,♥A,♥2,♠2,♠3 | Pair
♦6,♥A,♥2,♠2,♥6 | Two Pairs
♦6,♥A,♥2,♠2,♣A | Two Pairs
♦6,♥A,♥2,♠2,♠6 | Two Pairs
♦6,♥A,♥2,♠3,♥6 | Pair
♦6,♥A,♥2,♠3,♣A | Pair
♦6,♥A,♥2,♠3,♠6 | Pair
♦6,♥A,♥2,♥6,♣A | Two Pairs
♦6,♥A,♥2,♥6,♠6 | Three Of A Kind
♦6,♥A,♥2,♣A,♠6 | Two Pairs
♦6,♥A,♥7,♣9,♥6 | Pair
♦6,♥A,♥7,♣9,♣A | Pair
♦6,♥A,♥7,♣9,♠6 | Pair
♦6,♥A,♥7,♠2,♥6 | Pair
♦6,♥A,♥7,♠2,♣A | Pair
♦6,♥A,♥7,♠2,♠6 | Pair
♦6,♥A,♥7,♠3,♥6 | Pair
♦6,♥A,♥7,♠3,♣A | Pair
♦6,♥A,♥7,♠3,♠6 | Pair
♦6,♥A,♥7,♥6,♣A | Two Pairs
