♦Q,♥6,♥3,♦4,♦3 | Pair
♦Q,♥6,♥3,♦4,♠3 | Pair
♦Q,♥6,♥3,♦4,♦6 | Pair
♦Q,♥6,♥3,♦A,♦3 | Pair
♦Q,♥6,♥3,♦A,♠3 | Pair
♦Q,♥6,♥3,♦A,♦6 | Pair
♦Q,♥6,♥3,♣9,♦3 | Pair
♦Q,♥6,♥3,♣9,♠3 | Pair
♦Q,♥6,♥3,♣9,♦6 | Pair
♦Q,♥6,♥3,♦3,♠3 | Three Of A Kind
♦Q,♥6,♥3,♦3,♠K | Pair
♦Q,♥6,♥3,♦3,♦7 | Pair
♦Q,♥6,♥3,♦3,♥7 | Pair
♦Q,♥6,♥3,♦3,♣2 | Pair
♦Q,♥6,♥3,♦3,♦6 | Two Pairs
♦Q,♥6,♥3,♦3,♣8 | Pair
♦Q,♥6,♥3,♦3,♣7 | Pair
♦Q,♥6,♥3,♠3,♠K | Pair
♦Q,♥6,♥3,♠3,♦7 | Pair
♦Q,♥6,♥3,♠3,♥7 | Pair
♦Q,♥6,♥3,♠3,♣2 | Pair
♦Q,♥6,♥3,♠3,♦6 | Two Pairs
♦Q,♥6,♥3,♠3,♣8 | Pair
♦Q,♥6,♥3,♠3,♣7 | Pair
♦Q,♥6,♥3,♠K,♦6 | Pair
♦Q,♥6,♥3,♦7,♥7 | Pair
♦Q,♥6,♥3,♦7,♦6 | Pair
♦Q,♥6,♥3,♦7,♣7 | Pair
♦Q,♥6,♥3,♥7,♦6 | Pair
♦Q,♥6,♥3,♥7,♣7 | Pair
♦Q,♥6,♥3,♣2,♦6 | Pair
♦Q,♥6,♥3,♦6,♣8 | Pair
♦Q,♥6,♥3,♦6,♣7 | Pair
♦Q,♥6,♦4,♦A,♦6 | Pair
♦Q,♥6,♦4,♣9,♦6 | Pair
♦Q,♥6,♦4,♦3,♠3 | Pair
♦Q,♥6,♦4,♦3,♦6 | Pair
♦Q,♥6,♦4,♠3,♦6 | Pair
♦Q,♥6,♦4,♠K,♦6 | Pair
♦Q,♥6,♦4,♦7,♥7 | Pair
♦Q,♥6,♦4,♦7,♦6 | Pair
♦Q,♥6,♦4,♦7,♣7 | Pair
♦Q,♥6,♦4,♥7,♦6 | Pair
♦Q,♥6,♦4,♥7,♣7 | Pair
♦Q,♥6,♦4,♣2,♦6 | Pair
♦Q,♥6,♦4,♦6,♣8 | Pair
♦Q,♥6,♦4,♦6,♣7 | Pair
♦Q,♥6,♦A,♣9,♦6 | Pair
♦Q,♥6,♦A,♦3,♠3 | Pair
♦Q,♥6,♦A,♦3,♦6 | Pair
♦Q,♥6,♦A,♠3,♦6 | Pair
♦Q,♥6,♦A,♠K,♦6 | Pair
♦Q,♥6,♦A,♦7,♥7 | Pair
♦Q,♥6,♦A,♦7,♦6 | Pair
