♠K,♠8,♣9,♥5,♣8 | Pair
♠K,♠8,♣9,♥5,♣5 | Pair
♠K,♠8,♣9,♣10,♣8 | Pair
♠K,♠8,♣9,♣3,♣8 | Pair
♠K,♠8,♣9,♣8,♣5 | Pair
♠K,♠8,♣9,♣8,♣6 | Pair
♠K,♠8,♥5,♣10,♣8 | Pair
♠K,♠8,♥5,♣10,♣5 | Pair
♠K,♠8,♥5,♣3,♣8 | Pair
♠K,♠8,♥5,♣3,♣5 | Pair
♠K,♠8,♥5,♣8,♣5 | Two Pairs
♠K,♠8,♥5,♣8,♣6 | Pair
♠K,♠8,♥5,♣5,♣6 | Pair
♠K,♠8,♣10,♣3,♣8 | Pair
♠K,♠8,♣10,♣8,♣5 | Pair
♠K,♠8,♣10,♣8,♣6 | Pair
♠K,♠8,♣3,♣8,♣5 | Pair
♠K,♠8,♣3,♣8,♣6 | Pair
♠K,♠8,♣8,♣5,♣6 | Pair
♠K,♣9,♥5,♣10,♣5 | Pair
♠K,♣9,♥5,♣3,♣5 | Pair
♠K,♣9,♥5,♣8,♣5 | Pair
♠K,♣9,♥5,♣5,♣6 | Pair
♠K,♥5,♣10,♣3,♣5 | Pair
♠K,♥5,♣10,♣8,♣5 | Pair
♠K,♥5,♣10,♣5,♣6 | Pair
♠K,♥5,♣3,♣8,♣5 | Pair
♠K,♥5,♣3,♣5,♣6 | Pair
♠K,♥5,♣8,♣5,♣6 | Pair
♠8,♣9,♥5,♣10,♣8 | Pair
♠8,♣9,♥5,♣10,♣5 | Pair
♠8,♣9,♥5,♣3,♣8 | Pair
♠8,♣9,♥5,♣3,♣5 | Pair
♠8,♣9,♥5,♣8,♣5 | Two Pairs
♠8,♣9,♥5,♣8,♣6 | Pair
♠8,♣9,♥5,♣5,♣6 | Pair
♠8,♣9,♣10,♣3,♣8 | Pair
♠8,♣9,♣10,♣8,♣5 | Pair
♠8,♣9,♣10,♣8,♣6 | Pair
♠8,♣9,♣3,♣8,♣5 | Pair
♠8,♣9,♣3,♣8,♣6 | Pair
♠8,♣9,♣8,♣5,♣6 | Pair
♠8,♥5,♣10,♣3,♣8 | Pair
♠8,♥5,♣10,♣3,♣5 | Pair
♠8,♥5,♣10,♣8,♣5 | Two Pairs
♠8,♥5,♣10,♣8,♣6 | Pair
♠8,♥5,♣10,♣5,♣6 | Pair
♠8,♥5,♣3,♣8,♣5 | Two Pairs
♠8,♥5,♣3,♣8,♣6 | Pair
♠8,♥5,♣3,♣5,♣6 | Pair
♠8,♥5,♣8,♣5,♣6 | Two Pairs
♠8,♣10,♣3,♣8,♣5 | Pair
♠8,♣10,♣3,♣8,♣6 | Pair
♠8,♣10,♣8,♣5,♣6 | Pair
♠8,♣3,♣8,♣5,♣6 | Pair
♣9,♥5,♣10,♣3,♣5 | Pair
♣9,♥5,♣10,♣8,♣5 | Pair
♣9,♥5,♣10,♣5,♣6 | Pair
♣9,♥5,♣3,♣8,♣5 | Pair
♣9,♥5,♣3,♣5,♣6 | Pair
♣9,♥5,♣8,♣5,♣6 | Pair
♣9,♣10,♣3,♣8,♣5 | Flush
♣9,♣10,♣3,♣8,♣6 | Flush
♣9,♣10,♣3,♣5,♣6 | Flush
♣9,♣10,♣8,♣5,♣6 | Flush
♣9,♣3,♣8,♣5,♣6 | Flush
♥5,♣10,♣3,♣8,♣5 | Pair
♥5,♣10,♣3,♣5,♣6 | Pair
♥5,♣10,♣8,♣5,♣6 | Pair
♥5,♣3,♣8,♣5,♣6 | Pair
♣10,♣3,♣8,♣5,♣6 | Flush
