♦8,♣4,♦2,♦3,♥3 | Pair
♦8,♣4,♠7,♦3,♥3 | Pair
♦8,♣4,♦3,♦A,♥3 | Pair
♦8,♣4,♦3,♥3,♥10 | Pair
♦8,♣4,♦3,♥3,♠J | Pair
♦8,♦2,♠7,♦3,♥3 | Pair
♦8,♦2,♦3,♦A,♥3 | Pair
♦8,♦2,♦3,♥3,♥10 | Pair
♦8,♦2,♦3,♥3,♠J | Pair
♦8,♠7,♦3,♦A,♥3 | Pair
♦8,♠7,♦3,♥3,♥10 | Pair
♦8,♠7,♦3,♥3,♠J | Pair
♦8,♦3,♦A,♥3,♥10 | Pair
♦8,♦3,♦A,♥3,♠J | Pair
♦8,♦3,♥3,♥10,♠J | Pair
♣4,♦2,♠7,♦3,♥3 | Pair
♣4,♦2,♦3,♦A,♥3 | Pair
♣4,♦2,♦3,♥3,♥10 | Pair
♣4,♦2,♦3,♥3,♠J | Pair
♣4,♠7,♦3,♦A,♥3 | Pair
♣4,♠7,♦3,♥3,♥10 | Pair
♣4,♠7,♦3,♥3,♠J | Pair
♣4,♦3,♦A,♥3,♥10 | Pair
♣4,♦3,♦A,♥3,♠J | Pair
♣4,♦3,♥3,♥10,♠J | Pair
♦2,♠7,♦3,♦A,♥3 | Pair
♦2,♠7,♦3,♥3,♥10 | Pair
♦2,♠7,♦3,♥3,♠J | Pair
♦2,♦3,♦A,♥3,♥10 | Pair
♦2,♦3,♦A,♥3,♠J | Pair
♦2,♦3,♥3,♥10,♠J | Pair
♠7,♦3,♦A,♥3,♥10 | Pair
♠7,♦3,♦A,♥3,♠J | Pair
♠7,♦3,♥3,♥10,♠J | Pair
♦3,♦A,♥3,♥10,♠J | Pair
