♠4,♦J,♣7,♥10,♥7 | Pair
♠4,♦J,♣7,♥10,♣10 | Pair
♠4,♦J,♣7,♥10,♠10 | Pair
♠4,♦J,♣7,♦5,♥7 | Pair
♠4,♦J,♣7,♦6,♥7 | Pair
♠4,♦J,♣7,♥8,♥7 | Pair
♠4,♦J,♣7,♦2,♥7 | Pair
♠4,♦J,♣7,♥7,♣10 | Pair
♠4,♦J,♣7,♥7,♠10 | Pair
♠4,♦J,♣7,♥7,♣K | Pair
♠4,♦J,♣7,♣10,♠10 | Pair
♠4,♦J,♥10,♦5,♣10 | Pair
♠4,♦J,♥10,♦5,♠10 | Pair
♠4,♦J,♥10,♦6,♣10 | Pair
♠4,♦J,♥10,♦6,♠10 | Pair
♠4,♦J,♥10,♥8,♣10 | Pair
♠4,♦J,♥10,♥8,♠10 | Pair
♠4,♦J,♥10,♦2,♣10 | Pair
♠4,♦J,♥10,♦2,♠10 | Pair
♠4,♦J,♥10,♥7,♣10 | Pair
♠4,♦J,♥10,♥7,♠10 | Pair
♠4,♦J,♥10,♣10,♠10 | Three Of A Kind
♠4,♦J,♥10,♣10,♣K | Pair
♠4,♦J,♥10,♠10,♣K | Pair
♠4,♦J,♦5,♣10,♠10 | Pair
♠4,♦J,♦6,♣10,♠10 | Pair
♠4,♦J,♥8,♣10,♠10 | Pair
♠4,♦J,♦2,♣10,♠10 | Pair
♠4,♦J,♥7,♣10,♠10 | Pair
♠4,♦J,♣10,♠10,♣K | Pair
♠4,♣7,♥10,♦5,♥7 | Pair
♠4,♣7,♥10,♦5,♣10 | Pair
♠4,♣7,♥10,♦5,♠10 | Pair
♠4,♣7,♥10,♦6,♥7 | Pair
♠4,♣7,♥10,♦6,♣10 | Pair
♠4,♣7,♥10,♦6,♠10 | Pair
♠4,♣7,♥10,♥8,♥7 | Pair
♠4,♣7,♥10,♥8,♣10 | Pair
♠4,♣7,♥10,♥8,♠10 | Pair
♠4,♣7,♥10,♦2,♥7 | Pair
♠4,♣7,♥10,♦2,♣10 | Pair
♠4,♣7,♥10,♦2,♠10 | Pair
♠4,♣7,♥10,♥7,♣10 | Two Pairs
♠4,♣7,♥10,♥7,♠10 | Two Pairs
♠4,♣7,♥10,♥7,♣K | Pair
♠4,♣7,♥10,♣10,♠10 | Three Of A Kind
♠4,♣7,♥10,♣10,♣K | Pair
♠4,♣7,♥10,♠10,♣K | Pair
♠4,♣7,♦5,♦6,♥8 | Straight
♠4,♣7,♦5,♦6,♥7 | Pair
♠4,♣7,♦5,♥8,♥7 | Pair
♠4,♣7,♦5,♦2,♥7 | Pair
♠4,♣7,♦5,♥7,♣10 | Pair
♠4,♣7,♦5,♥7,♠10 | Pair
♠4,♣7,♦5,♥7,♣K | Pair
♠4,♣7,♦5,♣10,♠10 | Pair
♠4,♣7,♦6,♥8,♥7 | Pair
♠4,♣7,♦6,♦2,♥7 | Pair
♠4,♣7,♦6,♥7,♣10 | Pair
♠4,♣7,♦6,♥7,♠10 | Pair
♠4,♣7,♦6,♥7,♣K | Pair
♠4,♣7,♦6,♣10,♠10 | Pair
♠4,♣7,♥8,♦2,♥7 | Pair
♠4,♣7,♥8,♥7,♣10 | Pair
♠4,♣7,♥8,♥7,♠10 | Pair
♠4,♣7,♥8,♥7,♣K | Pair
♠4,♣7,♥8,♣10,♠10 | Pair
♠4,♣7,♦2,♥7,♣10 | Pair
♠4,♣7,♦2,♥7,♠10 | Pair
♠4,♣7,♦2,♥7,♣K | Pair
♠4,♣7,♦2,♣10,♠10 | Pair
♠4,♣7,♥7,♣10,♠10 | Two Pairs
♠4,♣7,♥7,♣10,♣K | Pair
♠4,♣7,♥7,♠10,♣K | Pair
♠4,♣7,♣10,♠10,♣K | Pair
♠4,♥10,♦5,♦6,♣10 | Pair
♠4,♥10,♦5,♦6,♠10 | Pair
♠4,♥10,♦5,♥8,♣10 | Pair
♠4,♥10,♦5,♥8,♠10 | Pair
♠4,♥10,♦5,♦2,♣10 | Pair
♠4,♥10,♦5,♦2,♠10 | Pair
♠4,♥10,♦5,♥7,♣10 | Pair
♠4,♥10,♦5,♥7,♠10 | Pair
♠4,♥10,♦5,♣10,♠10 | Three Of A Kind
♠4,♥10,♦5,♣10,♣K | Pair
♠4,♥10,♦5,♠10,♣K | Pair
♠4,♥10,♦6,♥8,♣10 | Pair
♠4,♥10,♦6,♥8,♠10 | Pair
♠4,♥10,♦6,♦2,♣10 | Pair
♠4,♥10,♦6,♦2,♠10 | Pair
♠4,♥10,♦6,♥7,♣10 | Pair
