♦Q,♥Q,♣J,♥10,♥5 | Pair
♦Q,♥Q,♣J,♥10,♦10 | Two Pairs
♦Q,♥Q,♣J,♥10,♠A | Pair
♦Q,♥Q,♣J,♥10,♣4 | Pair
♦Q,♥Q,♣J,♥10,♦3 | Pair
♦Q,♥Q,♣J,♥10,♥4 | Pair
♦Q,♥Q,♣J,♥5,♦10 | Pair
♦Q,♥Q,♣J,♥5,♠A | Pair
♦Q,♥Q,♣J,♥5,♣4 | Pair
♦Q,♥Q,♣J,♥5,♦3 | Pair
♦Q,♥Q,♣J,♥5,♥4 | Pair
♦Q,♥Q,♣J,♦10,♠A | Pair
♦Q,♥Q,♣J,♦10,♣4 | Pair
♦Q,♥Q,♣J,♦10,♦3 | Pair
♦Q,♥Q,♣J,♦10,♥4 | Pair
♦Q,♥Q,♣J,♠A,♣4 | Pair
♦Q,♥Q,♣J,♠A,♦3 | Pair
♦Q,♥Q,♣J,♠A,♥4 | Pair
♦Q,♥Q,♣J,♣4,♦3 | Pair
♦Q,♥Q,♣J,♣4,♥4 | Two Pairs
♦Q,♥Q,♣J,♦3,♥4 | Pair
♦Q,♥Q,♥10,♥5,♦10 | Two Pairs
♦Q,♥Q,♥10,♥5,♠A | Pair
♦Q,♥Q,♥10,♥5,♣4 | Pair
♦Q,♥Q,♥10,♥5,♦3 | Pair
♦Q,♥Q,♥10,♥5,♥4 | Pair
♦Q,♥Q,♥10,♦10,♠A | Two Pairs
♦Q,♥Q,♥10,♦10,♣4 | Two Pairs
♦Q,♥Q,♥10,♦10,♦3 | Two Pairs
♦Q,♥Q,♥10,♦10,♥4 | Two Pairs
♦Q,♥Q,♥10,♠A,♣4 | Pair
♦Q,♥Q,♥10,♠A,♦3 | Pair
♦Q,♥Q,♥10,♠A,♥4 | Pair
♦Q,♥Q,♥10,♣4,♦3 | Pair
♦Q,♥Q,♥10,♣4,♥4 | Two Pairs
♦Q,♥Q,♥10,♦3,♥4 | Pair
♦Q,♥Q,♥5,♦10,♠A | Pair
♦Q,♥Q,♥5,♦10,♣4 | Pair
♦Q,♥Q,♥5,♦10,♦3 | Pair
♦Q,♥Q,♥5,♦10,♥4 | Pair
♦Q,♥Q,♥5,♠A,♣4 | Pair
♦Q,♥Q,♥5,♠A,♦3 | Pair
♦Q,♥Q,♥5,♠A,♥4 | Pair
♦Q,♥Q,♥5,♣4,♦3 | Pair
♦Q,♥Q,♥5,♣4,♥4 | Two Pairs
