♠4,♥3,♦7,♣3,♦K | Pair
♠4,♥3,♦7,♣3,♥Q | Pair
♠4,♥3,♦7,♣3,♣J | Pair
♠4,♥3,♦7,♣3,♦2 | Pair
♠4,♥3,♦7,♣3,♥8 | Pair
♠4,♥3,♦7,♣3,♠J | Pair
♠4,♥3,♦7,♣J,♠J | Pair
♠4,♥3,♣3,♦K,♥Q | Pair
♠4,♥3,♣3,♦K,♣J | Pair
♠4,♥3,♣3,♦K,♦2 | Pair
♠4,♥3,♣3,♦K,♥8 | Pair
♠4,♥3,♣3,♦K,♠J | Pair
♠4,♥3,♣3,♥Q,♣J | Pair
♠4,♥3,♣3,♥Q,♦2 | Pair
♠4,♥3,♣3,♥Q,♥8 | Pair
♠4,♥3,♣3,♥Q,♠J | Pair
♠4,♥3,♣3,♣J,♦2 | Pair
♠4,♥3,♣3,♣J,♥8 | Pair
♠4,♥3,♣3,♣J,♠J | Two Pairs
♠4,♥3,♣3,♦2,♥8 | Pair
♠4,♥3,♣3,♦2,♠J | Pair
♠4,♥3,♣3,♥8,♠J | Pair
♠4,♥3,♦K,♣J,♠J | Pair
♠4,♥3,♥Q,♣J,♠J | Pair
♠4,♥3,♣J,♦2,♠J | Pair
♠4,♥3,♣J,♥8,♠J | Pair
♠4,♦7,♣3,♣J,♠J | Pair
♠4,♦7,♦K,♣J,♠J | Pair
♠4,♦7,♥Q,♣J,♠J | Pair
♠4,♦7,♣J,♦2,♠J | Pair
♠4,♦7,♣J,♥8,♠J | Pair
♠4,♣3,♦K,♣J,♠J | Pair
♠4,♣3,♥Q,♣J,♠J | Pair
♠4,♣3,♣J,♦2,♠J | Pair
♠4,♣3,♣J,♥8,♠J | Pair
♠4,♦K,♥Q,♣J,♠J | Pair
♠4,♦K,♣J,♦2,♠J | Pair
♠4,♦K,♣J,♥8,♠J | Pair
♠4,♥Q,♣J,♦2,♠J | Pair
♠4,♥Q,♣J,♥8,♠J | Pair
♠4,♣J,♦2,♥8,♠J | Pair
♥3,♦7,♣3,♦K,♥Q | Pair
♥3,♦7,♣3,♦K,♣J | Pair
♥3,♦7,♣3,♦K,♦2 | Pair
♥3,♦7,♣3,♦K,♥8 | Pair
♥3,♦7,♣3,♦K,♠J | Pair
♥3,♦7,♣3,♥Q,♣J | Pair
♥3,♦7,♣3,♥Q,♦2 | Pair
♥3,♦7,♣3,♥Q,♥8 | Pair
♥3,♦7,♣3,♥Q,♠J | Pair
♥3,♦7,♣3,♣J,♦2 | Pair
♥3,♦7,♣3,♣J,♥8 | Pair
♥3,♦7,♣3,♣J,♠J | Two Pairs
♥3,♦7,♣3,♦2,♥8 | Pair
♥3,♦7,♣3,♦2,♠J | Pair
♥3,♦7,♣3,♥8,♠J | Pair
♥3,♦7,♦K,♣J,♠J | Pair
♥3,♦7,♥Q,♣J,♠J | Pair
♥3,♦7,♣J,♦2,♠J | Pair
♥3,♦7,♣J,♥8,♠J | Pair
♥3,♣3,♦K,♥Q,♣J | Pair
♥3,♣3,♦K,♥Q,♦2 | Pair
♥3,♣3,♦K,♥Q,♥8 | Pair
♥3,♣3,♦K,♥Q,♠J | Pair
♥3,♣3,♦K,♣J,♦2 | Pair
♥3,♣3,♦K,♣J,♥8 | Pair
♥3,♣3,♦K,♣J,♠J | Two Pairs
♥3,♣3,♦K,♦2,♥8 | Pair
♥3,♣3,♦K,♦2,♠J | Pair
♥3,♣3,♦K,♥8,♠J | Pair
♥3,♣3,♥Q,♣J,♦2 | Pair
♥3,♣3,♥Q,♣J,♥8 | Pair
♥3,♣3,♥Q,♣J,♠J | Two Pairs
♥3,♣3,♥Q,♦2,♥8 | Pair
♥3,♣3,♥Q,♦2,♠J | Pair
♥3,♣3,♥Q,♥8,♠J | Pair
♥3,♣3,♣J,♦2,♥8 | Pair
♥3,♣3,♣J,♦2,♠J | Two Pairs
♥3,♣3,♣J,♥8,♠J | Two Pairs
♥3,♣3,♦2,♥8,♠J | Pair
♥3,♦K,♥Q,♣J,♠J | Pair
♥3,♦K,♣J,♦2,♠J | Pair
♥3,♦K,♣J,♥8,♠J | Pair
♥3,♥Q,♣J,♦2,♠J | Pair
♥3,♥Q,♣J,♥8,♠J | Pair
♥3,♣J,♦2,♥8,♠J | Pair
♦7,♣3,♦K,♣J,♠J | Pair
♦7,♣3,♥Q,♣J,♠J | Pair
♦7,♣3,♣J,♦2,♠J | Pair
♦7,♣3,♣J,♥8,♠J | Pair
♦7,♦K,♥Q,♣J,♠J | Pair
♦7,♦K,♣J,♦2,♠J | Pair
♦7,♦K,♣J,♥8,♠J | Pair
♦7,♥Q,♣J,♦2,♠J | Pair
♦7,♥Q,♣J,♥8,♠J | Pair
♦7,♣J,♦2,♥8,♠J | Pair
♣3,♦K,♥Q,♣J,♠J | Pair
♣3,♦K,♣J,♦2,♠J | Pair
♣3,♦K,♣J,♥8,♠J | Pair
♣3,♥Q,♣J,♦2,♠J | Pair
♣3,♥Q,♣J,♥8,♠J | Pair
♣3,♣J,♦2,♥8,♠J | Pair
♦K,♥Q,♣J,♦2,♠J | Pair
♦K,♥Q,♣J,♥8,♠J | Pair
♦K,♣J,♦2,♥8,♠J | Pair
♥Q,♣J,♦2,♥8,♠J | Pair
