♥6,♥K,♦6,♥8,♦10 | Pair
♥6,♥K,♦6,♥8,♣J | Pair
♥6,♥K,♦6,♥8,♠4 | Pair
♥6,♥K,♦6,♥8,♥Q | Pair
♥6,♥K,♦6,♥8,♣9 | Pair
♥6,♥K,♦6,♥8,♦4 | Pair
♥6,♥K,♦6,♥8,♦Q | Pair
♥6,♥K,♦6,♥8,♥9 | Pair
♥6,♥K,♦6,♦10,♣J | Pair
♥6,♥K,♦6,♦10,♠4 | Pair
♥6,♥K,♦6,♦10,♥Q | Pair
♥6,♥K,♦6,♦10,♣9 | Pair
♥6,♥K,♦6,♦10,♦4 | Pair
♥6,♥K,♦6,♦10,♦Q | Pair
♥6,♥K,♦6,♦10,♥9 | Pair
♥6,♥K,♦6,♣J,♠4 | Pair
♥6,♥K,♦6,♣J,♥Q | Pair
♥6,♥K,♦6,♣J,♣9 | Pair
♥6,♥K,♦6,♣J,♦4 | Pair
♥6,♥K,♦6,♣J,♦Q | Pair
♥6,♥K,♦6,♣J,♥9 | Pair
♥6,♥K,♦6,♠4,♥Q | Pair
♥6,♥K,♦6,♠4,♣9 | Pair
♥6,♥K,♦6,♠4,♦4 | Two Pairs
♥6,♥K,♦6,♠4,♦Q | Pair
♥6,♥K,♦6,♠4,♥9 | Pair
♥6,♥K,♦6,♥Q,♣9 | Pair
♥6,♥K,♦6,♥Q,♦4 | Pair
♥6,♥K,♦6,♥Q,♦Q | Two Pairs
♥6,♥K,♦6,♥Q,♥9 | Pair
♥6,♥K,♦6,♣9,♦4 | Pair
♥6,♥K,♦6,♣9,♦Q | Pair
♥6,♥K,♦6,♣9,♥9 | Two Pairs
♥6,♥K,♦6,♦4,♦Q | Pair
♥6,♥K,♦6,♦4,♥9 | Pair
♥6,♥K,♦6,♦Q,♥9 | Pair
♥6,♥K,♥8,♠4,♦4 | Pair
♥6,♥K,♥8,♥Q,♦Q | Pair
♥6,♥K,♥8,♥Q,♥9 | Flush
♥6,♥K,♥8,♣9,♥9 | Pair
♥6,♥K,♦10,♠4,♦4 | Pair
♥6,♥K,♦10,♥Q,♦Q | Pair
♥6,♥K,♦10,♣9,♥9 | Pair
♥6,♥K,♣J,♠4,♦4 | Pair
♥6,♥K,♣J,♥Q,♦Q | Pair
♥6,♥K,♣J,♣9,♥9 | Pair
♥6,♥K,♠4,♥Q,♦4 | Pair
♥6,♥K,♠4,♥Q,♦Q | Pair
♥6,♥K,♠4,♣9,♦4 | Pair
♥6,♥K,♠4,♣9,♥9 | Pair
♥6,♥K,♠4,♦4,♦Q | Pair
♥6,♥K,♠4,♦4,♥9 | Pair
♥6,♥K,♥Q,♣9,♦Q | Pair
♥6,♥K,♥Q,♣9,♥9 | Pair
♥6,♥K,♥Q,♦4,♦Q | Pair
♥6,♥K,♥Q,♦Q,♥9 | Pair
♥6,♥K,♣9,♦4,♥9 | Pair
♥6,♥K,♣9,♦Q,♥9 | Pair
♥6,♦6,♥8,♦10,♣J | Pair
♥6,♦6,♥8,♦10,♠4 | Pair
♥6,♦6,♥8,♦10,♥Q | Pair
♥6,♦6,♥8,♦10,♣9 | Pair
♥6,♦6,♥8,♦10,♦4 | Pair
♥6,♦6,♥8,♦10,♦Q | Pair
♥6,♦6,♥8,♦10,♥9 | Pair
♥6,♦6,♥8,♣J,♠4 | Pair
♥6,♦6,♥8,♣J,♥Q | Pair
♥6,♦6,♥8,♣J,♣9 | Pair
♥6,♦6,♥8,♣J,♦4 | Pair
♥6,♦6,♥8,♣J,♦Q | Pair
♥6,♦6,♥8,♣J,♥9 | Pair
♥6,♦6,♥8,♠4,♥Q | Pair
♥6,♦6,♥8,♠4,♣9 | Pair
♥6,♦6,♥8,♠4,♦4 | Two Pairs
♥6,♦6,♥8,♠4,♦Q | Pair
♥6,♦6,♥8,♠4,♥9 | Pair
♥6,♦6,♥8,♥Q,♣9 | Pair
♥6,♦6,♥8,♥Q,♦4 | Pair
♥6,♦6,♥8,♥Q,♦Q | Two Pairs
♥6,♦6,♥8,♥Q,♥9 | Pair
♥6,♦6,♥8,♣9,♦4 | Pair
♥6,♦6,♥8,♣9,♦Q | Pair
♥6,♦6,♥8,♣9,♥9 | Two Pairs
♥6,♦6,♥8,♦4,♦Q | Pair
♥6,♦6,♥8,♦4,♥9 | Pair
♥6,♦6,♥8,♦Q,♥9 | Pair
♥6,♦6,♦10,♣J,♠4 | Pair
♥6,♦6,♦10,♣J,♥Q | Pair
♥6,♦6,♦10,♣J,♣9 | Pair
♥6,♦6,♦10,♣J,♦4 | Pair
♥6,♦6,♦10,♣J,♦Q | Pair
♥6,♦6,♦10,♣J,♥9 | Pair
♥6,♦6,♦10,♠4,♥Q | Pair
♥6,♦6,♦10,♠4,♣9 | Pair
♥6,♦6,♦10,♠4,♦4 | Two Pairs
♥6,♦6,♦10,♠4,♦Q | Pair
♥6,♦6,♦10,♠4,♥9 | Pair
♥6,♦6,♦10,♥Q,♣9 | Pair
♥6,♦6,♦10,♥Q,♦4 | Pair
♥6,♦6,♦10,♥Q,♦Q | Two Pairs
♥6,♦6,♦10,♥Q,♥9 | Pair
♥6,♦6,♦10,♣9,♦4 | Pair
♥6,♦6,♦10,♣9,♦Q | Pair
♥6,♦6,♦10,♣9,♥9 | Two Pairs
♥6,♦6,♦10,♦4,♦Q | Pair
♥6,♦6,♦10,♦4,♥9 | Pair
♥6,♦6,♦10,♦Q,♥9 | Pair
♥6,♦6,♣J,♠4,♥Q | Pair
♥6,♦6,♣J,♠4,♣9 | Pair
♥6,♦6,♣J,♠4,♦4 | Two Pairs
♥6,♦6,♣J,♠4,♦Q | Pair
♥6,♦6,♣J,♠4,♥9 | Pair
♥6,♦6,♣J,♥Q,♣9 | Pair
♥6,♦6,♣J,♥Q,♦4 | Pair
♥6,♦6,♣J,♥Q,♦Q | Two Pairs
♥6,♦6,♣J,♥Q,♥9 | Pair
♥6,♦6,♣J,♣9,♦4 | Pair
♥6,♦6,♣J,♣9,♦Q | Pair
♥6,♦6,♣J,♣9,♥9 | Two Pairs
♥6,♦6,♣J,♦4,♦Q | Pair
♥6,♦6,♣J,♦4,♥9 | Pair
♥6,♦6,♣J,♦Q,♥9 | Pair
♥6,♦6,♠4,♥Q,♣9 | Pair
♥6,♦6,♠4,♥Q,♦4 | Two Pairs
♥6,♦6,♠4,♥Q,♦Q | Two Pairs
♥6,♦6,♠4,♥Q,♥9 | Pair
♥6,♦6,♠4,♣9,♦4 | Two Pairs
♥6,♦6,♠4,♣9,♦Q | Pair
♥6,♦6,♠4,♣9,♥9 | Two Pairs
♥6,♦6,♠4,♦4,♦Q | Two Pairs
♥6,♦6,♠4,♦4,♥9 | Two Pairs
♥6,♦6,♠4,♦Q,♥9 | Pair
♥6,♦6,♥Q,♣9,♦4 | Pair
♥6,♦6,♥Q,♣9,♦Q | Two Pairs
♥6,♦6,♥Q,♣9,♥9 | Two Pairs
♥6,♦6,♥Q,♦4,♦Q | Two Pairs
♥6,♦6,♥Q,♦4,♥9 | Pair
♥6,♦6,♥Q,♦Q,♥9 | Two Pairs
♥6,♦6,♣9,♦4,♦Q | Pair
♥6,♦6,♣9,♦4,♥9 | Two Pairs
♥6,♦6,♣9,♦Q,♥9 | Two Pairs
♥6,♦6,♦4,♦Q,♥9 | Pair
♥6,♥8,♦10,♠4,♦4 | Pair
♥6,♥8,♦10,♥Q,♦Q | Pair
♥6,♥8,♦10,♣9,♥9 | Pair
♥6,♥8,♣J,♠4,♦4 | Pair
♥6,♥8,♣J,♥Q,♦Q | Pair
♥6,♥8,♣J,♣9,♥9 | Pair
♥6,♥8,♠4,♥Q,♦4 | Pair
♥6,♥8,♠4,♥Q,♦Q | Pair
♥6,♥8,♠4,♣9,♦4 | Pair
♥6,♥8,♠4,♣9,♥9 | Pair
♥6,♥8,♠4,♦4,♦Q | Pair
♥6,♥8,♠4,♦4,♥9 | Pair
♥6,♥8,♥Q,♣9,♦Q | Pair
♥6,♥8,♥Q,♣9,♥9 | Pair
♥6,♥8,♥Q,♦4,♦Q | Pair
♥6,♥8,♥Q,♦Q,♥9 | Pair
♥6,♥8,♣9,♦4,♥9 | Pair
♥6,♥8,♣9,♦Q,♥9 | Pair
♥6,♦10,♣J,♠4,♦4 | Pair
♥6,♦10,♣J,♥Q,♦Q | Pair
♥6,♦10,♣J,♣9,♥9 | Pair
♥6,♦10,♠4,♥Q,♦4 | Pair
♥6,♦10,♠4,♥Q,♦Q | Pair
♥6,♦10,♠4,♣9,♦4 | Pair
♥6,♦10,♠4,♣9,♥9 | Pair
♥6,♦10,♠4,♦4,♦Q | Pair
♥6,♦10,♠4,♦4,♥9 | Pair
♥6,♦10,♥Q,♣9,♦Q | Pair
♥6,♦10,♥Q,♣9,♥9 | Pair
♥6,♦10,♥Q,♦4,♦Q | Pair
