♣2,♦J,♠10,♥5,♦10 | Pair
♣2,♦J,♠10,♠9,♦10 | Pair
♣2,♦J,♠10,♥Q,♦10 | Pair
♣2,♦J,♠10,♥3,♦10 | Pair
♣2,♦J,♠10,♥3,♦3 | Pair
♣2,♦J,♠10,♦10,♥4 | Pair
♣2,♦J,♠10,♦10,♦6 | Pair
♣2,♦J,♠10,♦10,♦3 | Pair
♣2,♦J,♠10,♦10,♦4 | Pair
♣2,♦J,♠10,♥4,♦4 | Pair
♣2,♦J,♥5,♥3,♦3 | Pair
♣2,♦J,♥5,♥4,♦4 | Pair
♣2,♦J,♠9,♥3,♦3 | Pair
♣2,♦J,♠9,♥4,♦4 | Pair
♣2,♦J,♥Q,♥3,♦3 | Pair
♣2,♦J,♥Q,♥4,♦4 | Pair
♣2,♦J,♥3,♦10,♦3 | Pair
♣2,♦J,♥3,♥4,♦3 | Pair
♣2,♦J,♥3,♥4,♦4 | Pair
♣2,♦J,♥3,♦6,♦3 | Pair
♣2,♦J,♥3,♦3,♦4 | Pair
♣2,♦J,♦10,♥4,♦4 | Pair
♣2,♦J,♥4,♦6,♦4 | Pair
♣2,♦J,♥4,♦3,♦4 | Pair
♣2,♠10,♥5,♠9,♦10 | Pair
♣2,♠10,♥5,♥Q,♦10 | Pair
♣2,♠10,♥5,♥3,♦10 | Pair
♣2,♠10,♥5,♥3,♦3 | Pair
♣2,♠10,♥5,♦10,♥4 | Pair
♣2,♠10,♥5,♦10,♦6 | Pair
♣2,♠10,♥5,♦10,♦3 | Pair
♣2,♠10,♥5,♦10,♦4 | Pair
♣2,♠10,♥5,♥4,♦4 | Pair
♣2,♠10,♠9,♥Q,♦10 | Pair
♣2,♠10,♠9,♥3,♦10 | Pair
♣2,♠10,♠9,♥3,♦3 | Pair
♣2,♠10,♠9,♦10,♥4 | Pair
♣2,♠10,♠9,♦10,♦6 | Pair
♣2,♠10,♠9,♦10,♦3 | Pair
♣2,♠10,♠9,♦10,♦4 | Pair
♣2,♠10,♠9,♥4,♦4 | Pair
♣2,♠10,♥Q,♥3,♦10 | Pair
♣2,♠10,♥Q,♥3,♦3 | Pair
♣2,♠10,♥Q,♦10,♥4 | Pair
♣2,♠10,♥Q,♦10,♦6 | Pair
♣2,♠10,♥Q,♦10,♦3 | Pair
♣2,♠10,♥Q,♦10,♦4 | Pair
♣2,♠10,♥Q,♥4,♦4 | Pair
♣2,♠10,♥3,♦10,♥4 | Pair
♣2,♠10,♥3,♦10,♦6 | Pair
♣2,♠10,♥3,♦10,♦3 | Two Pairs
♣2,♠10,♥3,♦10,♦4 | Pair
♣2,♠10,♥3,♥4,♦3 | Pair
♣2,♠10,♥3,♥4,♦4 | Pair
♣2,♠10,♥3,♦6,♦3 | Pair
♣2,♠10,♥3,♦3,♦4 | Pair
♣2,♠10,♦10,♥4,♦6 | Pair
♣2,♠10,♦10,♥4,♦3 | Pair
♣2,♠10,♦10,♥4,♦4 | Two Pairs
♣2,♠10,♦10,♦6,♦3 | Pair
♣2,♠10,♦10,♦6,♦4 | Pair
♣2,♠10,♦10,♦3,♦4 | Pair
♣2,♠10,♥4,♦6,♦4 | Pair
♣2,♠10,♥4,♦3,♦4 | Pair
♣2,♥5,♠9,♥3,♦3 | Pair
♣2,♥5,♠9,♥4,♦4 | Pair
♣2,♥5,♥Q,♥3,♦3 | Pair
♣2,♥5,♥Q,♥4,♦4 | Pair
♣2,♥5,♥3,♦10,♦3 | Pair
♣2,♥5,♥3,♥4,♦6 | Straight
♣2,♥5,♥3,♥4,♦3 | Pair
♣2,♥5,♥3,♥4,♦4 | Pair
♣2,♥5,♥3,♦6,♦3 | Pair
♣2,♥5,♥3,♦6,♦4 | Straight
♣2,♥5,♥3,♦3,♦4 | Pair
♣2,♥5,♦10,♥4,♦4 | Pair
♣2,♥5,♥4,♦6,♦3 | Straight
