♥A,♠7,♦J,♣5,♣7 | Pair
♥A,♠7,♦J,♣5,♣J | Pair
♥A,♠7,♦J,♥3,♣7 | Pair
♥A,♠7,♦J,♥3,♣J | Pair
♥A,♠7,♦J,♦9,♣7 | Pair
♥A,♠7,♦J,♦9,♣J | Pair
♥A,♠7,♦J,♣8,♣7 | Pair
♥A,♠7,♦J,♣8,♣J | Pair
♥A,♠7,♦J,♣Q,♣7 | Pair
♥A,♠7,♦J,♣Q,♣J | Pair
♥A,♠7,♦J,♣7,♣6 | Pair
♥A,♠7,♦J,♣7,♠4 | Pair
♥A,♠7,♦J,♣7,♠K | Pair
♥A,♠7,♦J,♣7,♣J | Two Pairs
♥A,♠7,♦J,♣7,♠6 | Pair
♥A,♠7,♦J,♣6,♣J | Pair
♥A,♠7,♦J,♣6,♠6 | Pair
♥A,♠7,♦J,♠4,♣J | Pair
♥A,♠7,♦J,♠K,♣J | Pair
♥A,♠7,♦J,♣J,♠6 | Pair
♥A,♠7,♣5,♥3,♣7 | Pair
♥A,♠7,♣5,♦9,♣7 | Pair
♥A,♠7,♣5,♣8,♣7 | Pair
♥A,♠7,♣5,♣Q,♣7 | Pair
♥A,♠7,♣5,♣7,♣6 | Pair
♥A,♠7,♣5,♣7,♠4 | Pair
♥A,♠7,♣5,♣7,♠K | Pair
♥A,♠7,♣5,♣7,♣J | Pair
♥A,♠7,♣5,♣7,♠6 | Pair
♥A,♠7,♣5,♣6,♠6 | Pair
♥A,♠7,♥3,♦9,♣7 | Pair
♥A,♠7,♥3,♣8,♣7 | Pair
♥A,♠7,♥3,♣Q,♣7 | Pair
♥A,♠7,♥3,♣7,♣6 | Pair
♥A,♠7,♥3,♣7,♠4 | Pair
♥A,♠7,♥3,♣7,♠K | Pair
♥A,♠7,♥3,♣7,♣J | Pair
♥A,♠7,♥3,♣7,♠6 | Pair
♥A,♠7,♥3,♣6,♠6 | Pair
♥A,♠7,♦9,♣8,♣7 | Pair
♥A,♠7,♦9,♣Q,♣7 | Pair
♥A,♠7,♦9,♣7,♣6 | Pair
♥A,♠7,♦9,♣7,♠4 | Pair
♥A,♠7,♦9,♣7,♠K | Pair
♥A,♠7,♦9,♣7,♣J | Pair
♥A,♠7,♦9,♣7,♠6 | Pair
♥A,♠7,♦9,♣6,♠6 | Pair
♥A,♠7,♣8,♣Q,♣7 | Pair
♥A,♠7,♣8,♣7,♣6 | Pair
♥A,♠7,♣8,♣7,♠4 | Pair
♥A,♠7,♣8,♣7,♠K | Pair
♥A,♠7,♣8,♣7,♣J | Pair
♥A,♠7,♣8,♣7,♠6 | Pair
♥A,♠7,♣8,♣6,♠6 | Pair
♥A,♠7,♣Q,♣7,♣6 | Pair
♥A,♠7,♣Q,♣7,♠4 | Pair
♥A,♠7,♣Q,♣7,♠K | Pair
♥A,♠7,♣Q,♣7,♣J | Pair
♥A,♠7,♣Q,♣7,♠6 | Pair
♥A,♠7,♣Q,♣6,♠6 | Pair
♥A,♠7,♣7,♣6,♠4 | Pair
♥A,♠7,♣7,♣6,♠K | Pair
♥A,♠7,♣7,♣6,♣J | Pair
♥A,♠7,♣7,♣6,♠6 | Two Pairs
♥A,♠7,♣7,♠4,♠K | Pair
♥A,♠7,♣7,♠4,♣J | Pair
♥A,♠7,♣7,♠4,♠6 | Pair
♥A,♠7,♣7,♠K,♣J | Pair
♥A,♠7,♣7,♠K,♠6 | Pair
♥A,♠7,♣7,♣J,♠6 | Pair
♥A,♠7,♣6,♠4,♠6 | Pair
♥A,♠7,♣6,♠K,♠6 | Pair
♥A,♠7,♣6,♣J,♠6 | Pair
♥A,♦J,♣5,♥3,♣J | Pair
♥A,♦J,♣5,♦9,♣J | Pair
♥A,♦J,♣5,♣8,♣J | Pair
♥A,♦J,♣5,♣Q,♣J | Pair
♥A,♦J,♣5,♣7,♣J | Pair
♥A,♦J,♣5,♣6,♣J | Pair
♥A,♦J,♣5,♣6,♠6 | Pair
♥A,♦J,♣5,♠4,♣J | Pair
♥A,♦J,♣5,♠K,♣J | Pair
♥A,♦J,♣5,♣J,♠6 | Pair
♥A,♦J,♥3,♦9,♣J | Pair
♥A,♦J,♥3,♣8,♣J | Pair
♥A,♦J,♥3,♣Q,♣J | Pair
♥A,♦J,♥3,♣7,♣J | Pair
♥A,♦J,♥3,♣6,♣J | Pair
♥A,♦J,♥3,♣6,♠6 | Pair
♥A,♦J,♥3,♠4,♣J | Pair
♥A,♦J,♥3,♠K,♣J | Pair
♥A,♦J,♥3,♣J,♠6 | Pair
♥A,♦J,♦9,♣8,♣J | Pair
♥A,♦J,♦9,♣Q,♣J | Pair
♥A,♦J,♦9,♣7,♣J | Pair
♥A,♦J,♦9,♣6,♣J | Pair
♥A,♦J,♦9,♣6,♠6 | Pair
♥A,♦J,♦9,♠4,♣J | Pair
♥A,♦J,♦9,♠K,♣J | Pair
♥A,♦J,♦9,♣J,♠6 | Pair
♥A,♦J,♣8,♣Q,♣J | Pair
♥A,♦J,♣8,♣7,♣J | Pair
♥A,♦J,♣8,♣6,♣J | Pair
♥A,♦J,♣8,♣6,♠6 | Pair
♥A,♦J,♣8,♠4,♣J | Pair
♥A,♦J,♣8,♠K,♣J | Pair
♥A,♦J,♣8,♣J,♠6 | Pair
♥A,♦J,♣Q,♣7,♣J | Pair
♥A,♦J,♣Q,♣6,♣J | Pair
♥A,♦J,♣Q,♣6,♠6 | Pair
♥A,♦J,♣Q,♠4,♣J | Pair
♥A,♦J,♣Q,♠K,♣J | Pair
♥A,♦J,♣Q,♣J,♠6 | Pair
♥A,♦J,♣7,♣6,♣J | Pair
♥A,♦J,♣7,♣6,♠6 | Pair
♥A,♦J,♣7,♠4,♣J | Pair
♥A,♦J,♣7,♠K,♣J | Pair
♥A,♦J,♣7,♣J,♠6 | Pair
♥A,♦J,♣6,♠4,♣J | Pair
♥A,♦J,♣6,♠4,♠6 | Pair
♥A,♦J,♣6,♠K,♣J | Pair
♥A,♦J,♣6,♠K,♠6 | Pair
♥A,♦J,♣6,♣J,♠6 | Two Pairs
♥A,♦J,♠4,♠K,♣J | Pair
♥A,♦J,♠4,♣J,♠6 | Pair
♥A,♦J,♠K,♣J,♠6 | Pair
♥A,♣5,♥3,♣6,♠6 | Pair
♥A,♣5,♦9,♣6,♠6 | Pair
♥A,♣5,♣8,♣6,♠6 | Pair
♥A,♣5,♣Q,♣6,♠6 | Pair
♥A,♣5,♣7,♣6,♠6 | Pair
♥A,♣5,♣6,♠4,♠6 | Pair
♥A,♣5,♣6,♠K,♠6 | Pair
♥A,♣5,♣6,♣J,♠6 | Pair
♥A,♥3,♦9,♣6,♠6 | Pair
♥A,♥3,♣8,♣6,♠6 | Pair
♥A,♥3,♣Q,♣6,♠6 | Pair
♥A,♥3,♣7,♣6,♠6 | Pair
♥A,♥3,♣6,♠4,♠6 | Pair
♥A,♥3,♣6,♠K,♠6 | Pair
♥A,♥3,♣6,♣J,♠6 | Pair
♥A,♦9,♣8,♣6,♠6 | Pair
♥A,♦9,♣Q,♣6,♠6 | Pair
♥A,♦9,♣7,♣6,♠6 | Pair
♥A,♦9,♣6,♠4,♠6 | Pair
♥A,♦9,♣6,♠K,♠6 | Pair
♥A,♦9,♣6,♣J,♠6 | Pair
♥A,♣8,♣Q,♣6,♠6 | Pair
♥A,♣8,♣7,♣6,♠6 | Pair
♥A,♣8,♣6,♠4,♠6 | Pair
♥A,♣8,♣6,♠K,♠6 | Pair
♥A,♣8,♣6,♣J,♠6 | Pair
♥A,♣Q,♣7,♣6,♠6 | Pair
♥A,♣Q,♣6,♠4,♠6 | Pair
♥A,♣Q,♣6,♠K,♠6 | Pair
♥A,♣Q,♣6,♣J,♠6 | Pair
♥A,♣7,♣6,♠4,♠6 | Pair
♥A,♣7,♣6,♠K,♠6 | Pair
♥A,♣7,♣6,♣J,♠6 | Pair
♥A,♣6,♠4,♠K,♠6 | Pair
♥A,♣6,♠4,♣J,♠6 | Pair
♥A,♣6,♠K,♣J,♠6 | Pair
♠7,♦J,♣5,♥3,♣7 | Pair
♠7,♦J,♣5,♥3,♣J | Pair
♠7,♦J,♣5,♦9,♣7 | Pair
♠7,♦J,♣5,♦9,♣J | Pair
♠7,♦J,♣5,♣8,♣7 | Pair
♠7,♦J,♣5,♣8,♣J | Pair
♠7,♦J,♣5,♣Q,♣7 | Pair
♠7,♦J,♣5,♣Q,♣J | Pair
♠7,♦J,♣5,♣7,♣6 | Pair
♠7,♦J,♣5,♣7,♠4 | Pair
♠7,♦J,♣5,♣7,♠K | Pair
♠7,♦J,♣5,♣7,♣J | Two Pairs
