♣J,♣3,♦A,♣4,♦3 | Pair
♣J,♣3,♦A,♠10,♦3 | Pair
♣J,♣3,♦A,♦6,♣6 | Pair
♣J,♣3,♦A,♦6,♦3 | Pair
♣J,♣3,♦A,♦Q,♣Q | Pair
♣J,♣3,♦A,♦Q,♦3 | Pair
♣J,♣3,♦A,♣8,♦3 | Pair
♣J,♣3,♦A,♣Q,♦3 | Pair
♣J,♣3,♦A,♣7,♦3 | Pair
♣J,♣3,♦A,♣6,♦3 | Pair
♣J,♣3,♦A,♠9,♦3 | Pair
♣J,♣3,♦A,♦K,♦3 | Pair
♣J,♣3,♣4,♠10,♦3 | Pair
♣J,♣3,♣4,♦6,♣6 | Pair
♣J,♣3,♣4,♦6,♦3 | Pair
♣J,♣3,♣4,♦Q,♣Q | Pair
♣J,♣3,♣4,♦Q,♦3 | Pair
♣J,♣3,♣4,♣8,♣Q | Flush
♣J,♣3,♣4,♣8,♣7 | Flush
♣J,♣3,♣4,♣8,♣6 | Flush
♣J,♣3,♣4,♣8,♦3 | Pair
♣J,♣3,♣4,♣Q,♣7 | Flush
♣J,♣3,♣4,♣Q,♣6 | Flush
♣J,♣3,♣4,♣Q,♦3 | Pair
♣J,♣3,♣4,♣7,♣6 | Flush
♣J,♣3,♣4,♣7,♦3 | Pair
♣J,♣3,♣4,♣6,♦3 | Pair
♣J,♣3,♣4,♠9,♦3 | Pair
♣J,♣3,♣4,♦K,♦3 | Pair
♣J,♣3,♠10,♦6,♣6 | Pair
♣J,♣3,♠10,♦6,♦3 | Pair
♣J,♣3,♠10,♦Q,♣Q | Pair
♣J,♣3,♠10,♦Q,♦3 | Pair
♣J,♣3,♠10,♣8,♦3 | Pair
♣J,♣3,♠10,♣Q,♦3 | Pair
♣J,♣3,♠10,♣7,♦3 | Pair
♣J,♣3,♠10,♣6,♦3 | Pair
♣J,♣3,♠10,♠9,♦3 | Pair
♣J,♣3,♠10,♦K,♦3 | Pair
♣J,♣3,♦6,♦Q,♣Q | Pair
♣J,♣3,♦6,♦Q,♣6 | Pair
♣J,♣3,♦6,♦Q,♦3 | Pair
♣J,♣3,♦6,♣8,♣6 | Pair
♣J,♣3,♦6,♣8,♦3 | Pair
♣J,♣3,♦6,♣Q,♣6 | Pair
♣J,♣3,♦6,♣Q,♦3 | Pair
♣J,♣3,♦6,♣7,♣6 | Pair
♣J,♣3,♦6,♣7,♦3 | Pair
♣J,♣3,♦6,♣6,♠9 | Pair
♣J,♣3,♦6,♣6,♦K | Pair
♣J,♣3,♦6,♣6,♦3 | Two Pairs
♣J,♣3,♦6,♠9,♦3 | Pair
♣J,♣3,♦6,♦K,♦3 | Pair
♣J,♣3,♦Q,♣8,♣Q | Pair
♣J,♣3,♦Q,♣8,♦3 | Pair
♣J,♣3,♦Q,♣Q,♣7 | Pair
♣J,♣3,♦Q,♣Q,♣6 | Pair
♣J,♣3,♦Q,♣Q,♠9 | Pair
♣J,♣3,♦Q,♣Q,♦K | Pair
♣J,♣3,♦Q,♣Q,♦3 | Two Pairs
♣J,♣3,♦Q,♣7,♦3 | Pair
♣J,♣3,♦Q,♣6,♦3 | Pair
♣J,♣3,♦Q,♠9,♦3 | Pair
♣J,♣3,♦Q,♦K,♦3 | Pair
♣J,♣3,♣8,♣Q,♣7 | Flush
♣J,♣3,♣8,♣Q,♣6 | Flush
♣J,♣3,♣8,♣Q,♦3 | Pair
♣J,♣3,♣8,♣7,♣6 | Flush
♣J,♣3,♣8,♣7,♦3 | Pair
♣J,♣3,♣8,♣6,♦3 | Pair
♣J,♣3,♣8,♠9,♦3 | Pair
♣J,♣3,♣8,♦K,♦3 | Pair
♣J,♣3,♣Q,♣7,♣6 | Flush
♣J,♣3,♣Q,♣7,♦3 | Pair
♣J,♣3,♣Q,♣6,♦3 | Pair
♣J,♣3,♣Q,♠9,♦3 | Pair
♣J,♣3,♣Q,♦K,♦3 | Pair
♣J,♣3,♣7,♣6,♦3 | Pair
♣J,♣3,♣7,♠9,♦3 | Pair
♣J,♣3,♣7,♦K,♦3 | Pair
♣J,♣3,♣6,♠9,♦3 | Pair
♣J,♣3,♣6,♦K,♦3 | Pair
♣J,♣3,♠9,♦K,♦3 | Pair
♣J,♦A,♣4,♦6,♣6 | Pair
♣J,♦A,♣4,♦Q,♣Q | Pair
♣J,♦A,♠10,♦6,♣6 | Pair
♣J,♦A,♠10,♦Q,♣Q | Pair
♣J,♦A,♠10,♦Q,♦K | Straight
♣J,♦A,♠10,♣Q,♦K | Straight
♣J,♦A,♦6,♦Q,♣Q | Pair
♣J,♦A,♦6,♦Q,♣6 | Pair
♣J,♦A,♦6,♣8,♣6 | Pair
♣J,♦A,♦6,♣Q,♣6 | Pair
♣J,♦A,♦6,♣7,♣6 | Pair
♣J,♦A,♦6,♣6,♠9 | Pair
♣J,♦A,♦6,♣6,♦K | Pair
