♣7,♦7,♠A,♣5,♦6 | Pair
♣7,♦7,♠A,♣5,♣6 | Pair
♣7,♦7,♠A,♣5,♦5 | Two Pairs
♣7,♦7,♠A,♣5,♥K | Pair
♣7,♦7,♠A,♣5,♥2 | Pair
♣7,♦7,♠A,♣5,♦Q | Pair
♣7,♦7,♠A,♣5,♥9 | Pair
♣7,♦7,♠A,♣5,♣2 | Pair
♣7,♦7,♠A,♦6,♣6 | Two Pairs
♣7,♦7,♠A,♦6,♦5 | Pair
♣7,♦7,♠A,♦6,♥K | Pair
♣7,♦7,♠A,♦6,♥2 | Pair
♣7,♦7,♠A,♦6,♦Q | Pair
♣7,♦7,♠A,♦6,♥9 | Pair
♣7,♦7,♠A,♦6,♣2 | Pair
♣7,♦7,♠A,♣6,♦5 | Pair
♣7,♦7,♠A,♣6,♥K | Pair
♣7,♦7,♠A,♣6,♥2 | Pair
♣7,♦7,♠A,♣6,♦Q | Pair
♣7,♦7,♠A,♣6,♥9 | Pair
♣7,♦7,♠A,♣6,♣2 | Pair
♣7,♦7,♠A,♦5,♥K | Pair
♣7,♦7,♠A,♦5,♥2 | Pair
♣7,♦7,♠A,♦5,♦Q | Pair
♣7,♦7,♠A,♦5,♥9 | Pair
♣7,♦7,♠A,♦5,♣2 | Pair
♣7,♦7,♠A,♥K,♥2 | Pair
♣7,♦7,♠A,♥K,♦Q | Pair
♣7,♦7,♠A,♥K,♥9 | Pair
♣7,♦7,♠A,♥K,♣2 | Pair
♣7,♦7,♠A,♥2,♦Q | Pair
♣7,♦7,♠A,♥2,♥9 | Pair
♣7,♦7,♠A,♥2,♣2 | Two Pairs
♣7,♦7,♠A,♦Q,♥9 | Pair
♣7,♦7,♠A,♦Q,♣2 | Pair
♣7,♦7,♠A,♥9,♣2 | Pair
♣7,♦7,♣5,♦6,♣6 | Two Pairs
♣7,♦7,♣5,♦6,♦5 | Two Pairs
♣7,♦7,♣5,♦6,♥K | Pair
♣7,♦7,♣5,♦6,♥2 | Pair
♣7,♦7,♣5,♦6,♦Q | Pair
♣7,♦7,♣5,♦6,♥9 | Pair
♣7,♦7,♣5,♦6,♣2 | Pair
♣7,♦7,♣5,♣6,♦5 | Two Pairs
♣7,♦7,♣5,♣6,♥K | Pair
♣7,♦7,♣5,♣6,♥2 | Pair
♣7,♦7,♣5,♣6,♦Q | Pair
♣7,♦7,♣5,♣6,♥9 | Pair
♣7,♦7,♣5,♣6,♣2 | Pair
♣7,♦7,♣5,♦5,♥K | Two Pairs
♣7,♦7,♣5,♦5,♥2 | Two Pairs
♣7,♦7,♣5,♦5,♦Q | Two Pairs
♣7,♦7,♣5,♦5,♥9 | Two Pairs
♣7,♦7,♣5,♦5,♣2 | Two Pairs
♣7,♦7,♣5,♥K,♥2 | Pair
♣7,♦7,♣5,♥K,♦Q | Pair
♣7,♦7,♣5,♥K,♥9 | Pair
♣7,♦7,♣5,♥K,♣2 | Pair
♣7,♦7,♣5,♥2,♦Q | Pair
♣7,♦7,♣5,♥2,♥9 | Pair
♣7,♦7,♣5,♥2,♣2 | Two Pairs
♣7,♦7,♣5,♦Q,♥9 | Pair
♣7,♦7,♣5,♦Q,♣2 | Pair
♣7,♦7,♣5,♥9,♣2 | Pair
♣7,♦7,♦6,♣6,♦5 | Two Pairs
♣7,♦7,♦6,♣6,♥K | Two Pairs
♣7,♦7,♦6,♣6,♥2 | Two Pairs
♣7,♦7,♦6,♣6,♦Q | Two Pairs
♣7,♦7,♦6,♣6,♥9 | Two Pairs
♣7,♦7,♦6,♣6,♣2 | Two Pairs
♣7,♦7,♦6,♦5,♥K | Pair
♣7,♦7,♦6,♦5,♥2 | Pair
♣7,♦7,♦6,♦5,♦Q | Pair
♣7,♦7,♦6,♦5,♥9 | Pair
♣7,♦7,♦6,♦5,♣2 | Pair
♣7,♦7,♦6,♥K,♥2 | Pair
♣7,♦7,♦6,♥K,♦Q | Pair
♣7,♦7,♦6,♥K,♥9 | Pair
♣7,♦7,♦6,♥K,♣2 | Pair
♣7,♦7,♦6,♥2,♦Q | Pair
♣7,♦7,♦6,♥2,♥9 | Pair
♣7,♦7,♦6,♥2,♣2 | Two Pairs
♣7,♦7,♦6,♦Q,♥9 | Pair
♣7,♦7,♦6,♦Q,♣2 | Pair
♣7,♦7,♦6,♥9,♣2 | Pair
♣7,♦7,♣6,♦5,♥K | Pair
♣7,♦7,♣6,♦5,♥2 | Pair
♣7,♦7,♣6,♦5,♦Q | Pair
♣7,♦7,♣6,♦5,♥9 | Pair
♣7,♦7,♣6,♦5,♣2 | Pair
♣7,♦7,♣6,♥K,♥2 | Pair
♣7,♦7,♣6,♥K,♦Q | Pair
♣7,♦7,♣6,♥K,♥9 | Pair
♣7,♦7,♣6,♥K,♣2 | Pair
♣7,♦7,♣6,♥2,♦Q | Pair
♣7,♦7,♣6,♥2,♥9 | Pair
♣7,♦7,♣6,♥2,♣2 | Two Pairs
♣7,♦7,♣6,♦Q,♥9 | Pair
♣7,♦7,♣6,♦Q,♣2 | Pair
♣7,♦7,♣6,♥9,♣2 | Pair
♣7,♦7,♦5,♥K,♥2 | Pair
♣7,♦7,♦5,♥K,♦Q | Pair
♣7,♦7,♦5,♥K,♥9 | Pair
♣7,♦7,♦5,♥K,♣2 | Pair
♣7,♦7,♦5,♥2,♦Q | Pair
♣7,♦7,♦5,♥2,♥9 | Pair
♣7,♦7,♦5,♥2,♣2 | Two Pairs
♣7,♦7,♦5,♦Q,♥9 | Pair
♣7,♦7,♦5,♦Q,♣2 | Pair
♣7,♦7,♦5,♥9,♣2 | Pair
♣7,♦7,♥K,♥2,♦Q | Pair
♣7,♦7,♥K,♥2,♥9 | Pair
♣7,♦7,♥K,♥2,♣2 | Two Pairs
♣7,♦7,♥K,♦Q,♥9 | Pair
♣7,♦7,♥K,♦Q,♣2 | Pair
♣7,♦7,♥K,♥9,♣2 | Pair
♣7,♦7,♥2,♦Q,♥9 | Pair
♣7,♦7,♥2,♦Q,♣2 | Two Pairs
♣7,♦7,♥2,♥9,♣2 | Two Pairs
♣7,♦7,♦Q,♥9,♣2 | Pair
♣7,♠A,♣5,♦6,♣6 | Pair
♣7,♠A,♣5,♦6,♦5 | Pair
♣7,♠A,♣5,♣6,♦5 | Pair
♣7,♠A,♣5,♦5,♥K | Pair
♣7,♠A,♣5,♦5,♥2 | Pair
♣7,♠A,♣5,♦5,♦Q | Pair
♣7,♠A,♣5,♦5,♥9 | Pair
♣7,♠A,♣5,♦5,♣2 | Pair
♣7,♠A,♣5,♥2,♣2 | Pair
♣7,♠A,♦6,♣6,♦5 | Pair
♣7,♠A,♦6,♣6,♥K | Pair
♣7,♠A,♦6,♣6,♥2 | Pair
♣7,♠A,♦6,♣6,♦Q | Pair
♣7,♠A,♦6,♣6,♥9 | Pair
♣7,♠A,♦6,♣6,♣2 | Pair
♣7,♠A,♦6,♥2,♣2 | Pair
♣7,♠A,♣6,♥2,♣2 | Pair
♣7,♠A,♦5,♥2,♣2 | Pair
♣7,♠A,♥K,♥2,♣2 | Pair
♣7,♠A,♥2,♦Q,♣2 | Pair
♣7,♠A,♥2,♥9,♣2 | Pair
♣7,♣5,♦6,♣6,♦5 | Two Pairs
♣7,♣5,♦6,♣6,♥K | Pair
♣7,♣5,♦6,♣6,♥2 | Pair
♣7,♣5,♦6,♣6,♦Q | Pair
♣7,♣5,♦6,♣6,♥9 | Pair
♣7,♣5,♦6,♣6,♣2 | Pair
♣7,♣5,♦6,♦5,♥K | Pair
♣7,♣5,♦6,♦5,♥2 | Pair
♣7,♣5,♦6,♦5,♦Q | Pair
♣7,♣5,♦6,♦5,♥9 | Pair
♣7,♣5,♦6,♦5,♣2 | Pair
♣7,♣5,♦6,♥2,♣2 | Pair
♣7,♣5,♣6,♦5,♥K | Pair
♣7,♣5,♣6,♦5,♥2 | Pair
♣7,♣5,♣6,♦5,♦Q | Pair
♣7,♣5,♣6,♦5,♥9 | Pair
♣7,♣5,♣6,♦5,♣2 | Pair
♣7,♣5,♣6,♥2,♣2 | Pair
♣7,♣5,♦5,♥K,♥2 | Pair
♣7,♣5,♦5,♥K,♦Q | Pair
♣7,♣5,♦5,♥K,♥9 | Pair
♣7,♣5,♦5,♥K,♣2 | Pair
♣7,♣5,♦5,♥2,♦Q | Pair
♣7,♣5,♦5,♥2,♥9 | Pair
♣7,♣5,♦5,♥2,♣2 | Two Pairs
♣7,♣5,♦5,♦Q,♥9 | Pair
♣7,♣5,♦5,♦Q,♣2 | Pair
♣7,♣5,♦5,♥9,♣2 | Pair
♣7,♣5,♥K,♥2,♣2 | Pair
♣7,♣5,♥2,♦Q,♣2 | Pair
♣7,♣5,♥2,♥9,♣2 | Pair
♣7,♦6,♣6,♦5,♥K | Pair
♣7,♦6,♣6,♦5,♥2 | Pair
♣7,♦6,♣6,♦5,♦Q | Pair
♣7,♦6,♣6,♦5,♥9 | Pair
♣7,♦6,♣6,♦5,♣2 | Pair
♣7,♦6,♣6,♥K,♥2 | Pair
♣7,♦6,♣6,♥K,♦Q | Pair
♣7,♦6,♣6,♥K,♥9 | Pair
♣7,♦6,♣6,♥K,♣2 | Pair
♣7,♦6,♣6,♥2,♦Q | Pair
♣7,♦6,♣6,♥2,♥9 | Pair
♣7,♦6,♣6,♥2,♣2 | Two Pairs
♣7,♦6,♣6,♦Q,♥9 | Pair
♣7,♦6,♣6,♦Q,♣2 | Pair
♣7,♦6,♣6,♥9,♣2 | Pair
♣7,♦6,♦5,♥2,♣2 | Pair
♣7,♦6,♥K,♥2,♣2 | Pair
♣7,♦6,♥2,♦Q,♣2 | Pair
♣7,♦6,♥2,♥9,♣2 | Pair
♣7,♣6,♦5,♥2,♣2 | Pair
♣7,♣6,♥K,♥2,♣2 | Pair
♣7,♣6,♥2,♦Q,♣2 | Pair
♣7,♣6,♥2,♥9,♣2 | Pair
♣7,♦5,♥K,♥2,♣2 | Pair
♣7,♦5,♥2,♦Q,♣2 | Pair
♣7,♦5,♥2,♥9,♣2 | Pair
♣7,♥K,♥2,♦Q,♣2 | Pair
♣7,♥K,♥2,♥9,♣2 | Pair
♣7,♥2,♦Q,♥9,♣2 | Pair
♦7,♠A,♣5,♦6,♣6 | Pair
♦7,♠A,♣5,♦6,♦5 | Pair
♦7,♠A,♣5,♣6,♦5 | Pair
♦7,♠A,♣5,♦5,♥K | Pair
♦7,♠A,♣5,♦5,♥2 | Pair
♦7,♠A,♣5,♦5,♦Q | Pair
♦7,♠A,♣5,♦5,♥9 | Pair
♦7,♠A,♣5,♦5,♣2 | Pair
♦7,♠A,♣5,♥2,♣2 | Pair
♦7,♠A,♦6,♣6,♦5 | Pair
♦7,♠A,♦6,♣6,♥K | Pair
♦7,♠A,♦6,♣6,♥2 | Pair
♦7,♠A,♦6,♣6,♦Q | Pair
♦7,♠A,♦6,♣6,♥9 | Pair
♦7,♠A,♦6,♣6,♣2 | Pair
♦7,♠A,♦6,♥2,♣2 | Pair
♦7,♠A,♣6,♥2,♣2 | Pair
♦7,♠A,♦5,♥2,♣2 | Pair
♦7,♠A,♥K,♥2,♣2 | Pair
♦7,♠A,♥2,♦Q,♣2 | Pair
♦7,♠A,♥2,♥9,♣2 | Pair
♦7,♣5,♦6,♣6,♦5 | Two Pairs
♦7,♣5,♦6,♣6,♥K | Pair
♦7,♣5,♦6,♣6,♥2 | Pair
♦7,♣5,♦6,♣6,♦Q | Pair
♦7,♣5,♦6,♣6,♥9 | Pair
♦7,♣5,♦6,♣6,♣2 | Pair
♦7,♣5,♦6,♦5,♥K | Pair
♦7,♣5,♦6,♦5,♥2 | Pair
♦7,♣5,♦6,♦5,♦Q | Pair
♦7,♣5,♦6,♦5,♥9 | Pair
♦7,♣5,♦6,♦5,♣2 | Pair
♦7,♣5,♦6,♥2,♣2 | Pair
♦7,♣5,♣6,♦5,♥K | Pair
♦7,♣5,♣6,♦5,♥2 | Pair
♦7,♣5,♣6,♦5,♦Q | Pair
♦7,♣5,♣6,♦5,♥9 | Pair
♦7,♣5,♣6,♦5,♣2 | Pair
♦7,♣5,♣6,♥2,♣2 | Pair
♦7,♣5,♦5,♥K,♥2 | Pair
♦7,♣5,♦5,♥K,♦Q | Pair
♦7,♣5,♦5,♥K,♥9 | Pair
♦7,♣5,♦5,♥K,♣2 | Pair
♦7,♣5,♦5,♥2,♦Q | Pair
♦7,♣5,♦5,♥2,♥9 | Pair
♦7,♣5,♦5,♥2,♣2 | Two Pairs
♦7,♣5,♦5,♦Q,♥9 | Pair
♦7,♣5,♦5,♦Q,♣2 | Pair
♦7,♣5,♦5,♥9,♣2 | Pair
♦7,♣5,♥K,♥2,♣2 | Pair
♦7,♣5,♥2,♦Q,♣2 | Pair
♦7,♣5,♥2,♥9,♣2 | Pair
♦7,♦6,♣6,♦5,♥K | Pair
♦7,♦6,♣6,♦5,♥2 | Pair
♦7,♦6,♣6,♦5,♦Q | Pair
♦7,♦6,♣6,♦5,♥9 | Pair
♦7,♦6,♣6,♦5,♣2 | Pair
♦7,♦6,♣6,♥K,♥2 | Pair
♦7,♦6,♣6,♥K,♦Q | Pair
♦7,♦6,♣6,♥K,♥9 | Pair
♦7,♦6,♣6,♥K,♣2 | Pair
♦7,♦6,♣6,♥2,♦Q | Pair
♦7,♦6,♣6,♥2,♥9 | Pair
♦7,♦6,♣6,♥2,♣2 | Two Pairs
♦7,♦6,♣6,♦Q,♥9 | Pair
♦7,♦6,♣6,♦Q,♣2 | Pair
♦7,♦6,♣6,♥9,♣2 | Pair
♦7,♦6,♦5,♥2,♣2 | Pair
♦7,♦6,♥K,♥2,♣2 | Pair
♦7,♦6,♥2,♦Q,♣2 | Pair
♦7,♦6,♥2,♥9,♣2 | Pair
♦7,♣6,♦5,♥2,♣2 | Pair
♦7,♣6,♥K,♥2,♣2 | Pair
♦7,♣6,♥2,♦Q,♣2 | Pair
♦7,♣6,♥2,♥9,♣2 | Pair
♦7,♦5,♥K,♥2,♣2 | Pair
♦7,♦5,♥2,♦Q,♣2 | Pair
♦7,♦5,♥2,♥9,♣2 | Pair
♦7,♥K,♥2,♦Q,♣2 | Pair
♦7,♥K,♥2,♥9,♣2 | Pair
♦7,♥2,♦Q,♥9,♣2 | Pair
♠A,♣5,♦6,♣6,♦5 | Two Pairs
♠A,♣5,♦6,♣6,♥K | Pair
♠A,♣5,♦6,♣6,♥2 | Pair
♠A,♣5,♦6,♣6,♦Q | Pair
♠A,♣5,♦6,♣6,♥9 | Pair
♠A,♣5,♦6,♣6,♣2 | Pair
♠A,♣5,♦6,♦5,♥K | Pair
♠A,♣5,♦6,♦5,♥2 | Pair
♠A,♣5,♦6,♦5,♦Q | Pair
♠A,♣5,♦6,♦5,♥9 | Pair
♠A,♣5,♦6,♦5,♣2 | Pair
♠A,♣5,♦6,♥2,♣2 | Pair
♠A,♣5,♣6,♦5,♥K | Pair
♠A,♣5,♣6,♦5,♥2 | Pair
♠A,♣5,♣6,♦5,♦Q | Pair
♠A,♣5,♣6,♦5,♥9 | Pair
♠A,♣5,♣6,♦5,♣2 | Pair
♠A,♣5,♣6,♥2,♣2 | Pair
♠A,♣5,♦5,♥K,♥2 | Pair
♠A,♣5,♦5,♥K,♦Q | Pair
♠A,♣5,♦5,♥K,♥9 | Pair
♠A,♣5,♦5,♥K,♣2 | Pair
♠A,♣5,♦5,♥2,♦Q | Pair
♠A,♣5,♦5,♥2,♥9 | Pair
♠A,♣5,♦5,♥2,♣2 | Two Pairs
♠A,♣5,♦5,♦Q,♥9 | Pair
♠A,♣5,♦5,♦Q,♣2 | Pair
♠A,♣5,♦5,♥9,♣2 | Pair
♠A,♣5,♥K,♥2,♣2 | Pair
♠A,♣5,♥2,♦Q,♣2 | Pair
♠A,♣5,♥2,♥9,♣2 | Pair
♠A,♦6,♣6,♦5,♥K | Pair
♠A,♦6,♣6,♦5,♥2 | Pair
♠A,♦6,♣6,♦5,♦Q | Pair
♠A,♦6,♣6,♦5,♥9 | Pair
♠A,♦6,♣6,♦5,♣2 | Pair
♠A,♦6,♣6,♥K,♥2 | Pair
♠A,♦6,♣6,♥K,♦Q | Pair
♠A,♦6,♣6,♥K,♥9 | Pair
♠A,♦6,♣6,♥K,♣2 | Pair
♠A,♦6,♣6,♥2,♦Q | Pair
♠A,♦6,♣6,♥2,♥9 | Pair
♠A,♦6,♣6,♥2,♣2 | Two Pairs
♠A,♦6,♣6,♦Q,♥9 | Pair
♠A,♦6,♣6,♦Q,♣2 | Pair
♠A,♦6,♣6,♥9,♣2 | Pair
♠A,♦6,♦5,♥2,♣2 | Pair
♠A,♦6,♥K,♥2,♣2 | Pair
♠A,♦6,♥2,♦Q,♣2 | Pair
♠A,♦6,♥2,♥9,♣2 | Pair
♠A,♣6,♦5,♥2,♣2 | Pair
♠A,♣6,♥K,♥2,♣2 | Pair
♠A,♣6,♥2,♦Q,♣2 | Pair
♠A,♣6,♥2,♥9,♣2 | Pair
♠A,♦5,♥K,♥2,♣2 | Pair
♠A,♦5,♥2,♦Q,♣2 | Pair
♠A,♦5,♥2,♥9,♣2 | Pair
♠A,♥K,♥2,♦Q,♣2 | Pair
♠A,♥K,♥2,♥9,♣2 | Pair
♠A,♥2,♦Q,♥9,♣2 | Pair
♣5,♦6,♣6,♦5,♥K | Two Pairs
♣5,♦6,♣6,♦5,♥2 | Two Pairs
♣5,♦6,♣6,♦5,♦Q | Two Pairs
♣5,♦6,♣6,♦5,♥9 | Two Pairs
♣5,♦6,♣6,♦5,♣2 | Two Pairs
♣5,♦6,♣6,♥K,♥2 | Pair
♣5,♦6,♣6,♥K,♦Q | Pair
♣5,♦6,♣6,♥K,♥9 | Pair
♣5,♦6,♣6,♥K,♣2 | Pair
♣5,♦6,♣6,♥2,♦Q | Pair
♣5,♦6,♣6,♥2,♥9 | Pair
♣5,♦6,♣6,♥2,♣2 | Two Pairs
♣5,♦6,♣6,♦Q,♥9 | Pair
♣5,♦6,♣6,♦Q,♣2 | Pair
♣5,♦6,♣6,♥9,♣2 | Pair
♣5,♦6,♦5,♥K,♥2 | Pair
♣5,♦6,♦5,♥K,♦Q | Pair
♣5,♦6,♦5,♥K,♥9 | Pair
♣5,♦6,♦5,♥K,♣2 | Pair
♣5,♦6,♦5,♥2,♦Q | Pair
♣5,♦6,♦5,♥2,♥9 | Pair
♣5,♦6,♦5,♥2,♣2 | Two Pairs
♣5,♦6,♦5,♦Q,♥9 | Pair
♣5,♦6,♦5,♦Q,♣2 | Pair
♣5,♦6,♦5,♥9,♣2 | Pair
♣5,♦6,♥K,♥2,♣2 | Pair
♣5,♦6,♥2,♦Q,♣2 | Pair
♣5,♦6,♥2,♥9,♣2 | Pair
♣5,♣6,♦5,♥K,♥2 | Pair
♣5,♣6,♦5,♥K,♦Q | Pair
♣5,♣6,♦5,♥K,♥9 | Pair
♣5,♣6,♦5,♥K,♣2 | Pair
♣5,♣6,♦5,♥2,♦Q | Pair
♣5,♣6,♦5,♥2,♥9 | Pair
♣5,♣6,♦5,♥2,♣2 | Two Pairs
♣5,♣6,♦5,♦Q,♥9 | Pair
♣5,♣6,♦5,♦Q,♣2 | Pair
♣5,♣6,♦5,♥9,♣2 | Pair
♣5,♣6,♥K,♥2,♣2 | Pair
♣5,♣6,♥2,♦Q,♣2 | Pair
♣5,♣6,♥2,♥9,♣2 | Pair
♣5,♦5,♥K,♥2,♦Q | Pair
♣5,♦5,♥K,♥2,♥9 | Pair
♣5,♦5,♥K,♥2,♣2 | Two Pairs
♣5,♦5,♥K,♦Q,♥9 | Pair
♣5,♦5,♥K,♦Q,♣2 | Pair
♣5,♦5,♥K,♥9,♣2 | Pair
♣5,♦5,♥2,♦Q,♥9 | Pair
♣5,♦5,♥2,♦Q,♣2 | Two Pairs
♣5,♦5,♥2,♥9,♣2 | Two Pairs
♣5,♦5,♦Q,♥9,♣2 | Pair
♣5,♥K,♥2,♦Q,♣2 | Pair
♣5,♥K,♥2,♥9,♣2 | Pair
♣5,♥2,♦Q,♥9,♣2 | Pair
♦6,♣6,♦5,♥K,♥2 | Pair
♦6,♣6,♦5,♥K,♦Q | Pair
♦6,♣6,♦5,♥K,♥9 | Pair
♦6,♣6,♦5,♥K,♣2 | Pair
♦6,♣6,♦5,♥2,♦Q | Pair
♦6,♣6,♦5,♥2,♥9 | Pair
♦6,♣6,♦5,♥2,♣2 | Two Pairs
♦6,♣6,♦5,♦Q,♥9 | Pair
♦6,♣6,♦5,♦Q,♣2 | Pair
♦6,♣6,♦5,♥9,♣2 | Pair
♦6,♣6,♥K,♥2,♦Q | Pair
♦6,♣6,♥K,♥2,♥9 | Pair
♦6,♣6,♥K,♥2,♣2 | Two Pairs
♦6,♣6,♥K,♦Q,♥9 | Pair
♦6,♣6,♥K,♦Q,♣2 | Pair
♦6,♣6,♥K,♥9,♣2 | Pair
♦6,♣6,♥2,♦Q,♥9 | Pair
♦6,♣6,♥2,♦Q,♣2 | Two Pairs
♦6,♣6,♥2,♥9,♣2 | Two Pairs
♦6,♣6,♦Q,♥9,♣2 | Pair
♦6,♦5,♥K,♥2,♣2 | Pair
♦6,♦5,♥2,♦Q,♣2 | Pair
♦6,♦5,♥2,♥9,♣2 | Pair
♦6,♥K,♥2,♦Q,♣2 | Pair
♦6,♥K,♥2,♥9,♣2 | Pair
♦6,♥2,♦Q,♥9,♣2 | Pair
♣6,♦5,♥K,♥2,♣2 | Pair
♣6,♦5,♥2,♦Q,♣2 | Pair
♣6,♦5,♥2,♥9,♣2 | Pair
♣6,♥K,♥2,♦Q,♣2 | Pair
♣6,♥K,♥2,♥9,♣2 | Pair
♣6,♥2,♦Q,♥9,♣2 | Pair
♦5,♥K,♥2,♦Q,♣2 | Pair
♦5,♥K,♥2,♥9,♣2 | Pair
♦5,♥2,♦Q,♥9,♣2 | Pair
♥K,♥2,♦Q,♥9,♣2 | Pair
