♠6,♥8,♦J,♥10,♦6 | Pair
♠6,♥8,♦J,♣7,♦7 | Pair
♠6,♥8,♦J,♣7,♦6 | Pair
♠6,♥8,♦J,♣7,♠7 | Pair
♠6,♥8,♦J,♦Q,♦6 | Pair
♠6,♥8,♦J,♦Q,♣Q | Pair
♠6,♥8,♦J,♣K,♦6 | Pair
♠6,♥8,♦J,♦7,♦6 | Pair
♠6,♥8,♦J,♦7,♠7 | Pair
♠6,♥8,♦J,♣2,♦6 | Pair
♠6,♥8,♦J,♦6,♠7 | Pair
♠6,♥8,♦J,♦6,♠5 | Pair
♠6,♥8,♦J,♦6,♣Q | Pair
♠6,♥8,♦J,♦6,♣9 | Pair
♠6,♥8,♦J,♦6,♣5 | Pair
♠6,♥8,♦J,♠5,♣5 | Pair
♠6,♥8,♥10,♣7,♦7 | Pair
♠6,♥8,♥10,♣7,♦6 | Pair
♠6,♥8,♥10,♣7,♠7 | Pair
♠6,♥8,♥10,♣7,♣9 | Straight
♠6,♥8,♥10,♦Q,♦6 | Pair
♠6,♥8,♥10,♦Q,♣Q | Pair
♠6,♥8,♥10,♣K,♦6 | Pair
♠6,♥8,♥10,♦7,♦6 | Pair
♠6,♥8,♥10,♦7,♠7 | Pair
♠6,♥8,♥10,♦7,♣9 | Straight
♠6,♥8,♥10,♣2,♦6 | Pair
♠6,♥8,♥10,♦6,♠7 | Pair
♠6,♥8,♥10,♦6,♠5 | Pair
♠6,♥8,♥10,♦6,♣Q | Pair
♠6,♥8,♥10,♦6,♣9 | Pair
♠6,♥8,♥10,♦6,♣5 | Pair
♠6,♥8,♥10,♠7,♣9 | Straight
♠6,♥8,♥10,♠5,♣5 | Pair
♠6,♥8,♣7,♦Q,♦7 | Pair
♠6,♥8,♣7,♦Q,♦6 | Pair
♠6,♥8,♣7,♦Q,♠7 | Pair
♠6,♥8,♣7,♦Q,♣Q | Pair
♠6,♥8,♣7,♣K,♦7 | Pair
♠6,♥8,♣7,♣K,♦6 | Pair
♠6,♥8,♣7,♣K,♠7 | Pair
♠6,♥8,♣7,♦7,♣2 | Pair
♠6,♥8,♣7,♦7,♦6 | Two Pairs
♠6,♥8,♣7,♦7,♠7 | Three Of A Kind
♠6,♥8,♣7,♦7,♠5 | Pair
♠6,♥8,♣7,♦7,♣Q | Pair
♠6,♥8,♣7,♦7,♣9 | Pair
♠6,♥8,♣7,♦7,♣5 | Pair
♠6,♥8,♣7,♣2,♦6 | Pair
♠6,♥8,♣7,♣2,♠7 | Pair
♠6,♥8,♣7,♦6,♠7 | Two Pairs
♠6,♥8,♣7,♦6,♠5 | Pair
♠6,♥8,♣7,♦6,♣Q | Pair
