♣3,♥4,♥Q,♦5,♣Q | Pair
♣3,♥4,♥Q,♦5,♦3 | Pair
♣3,♥4,♥Q,♣Q,♠8 | Pair
♣3,♥4,♥Q,♣Q,♥K | Pair
♣3,♥4,♥Q,♣Q,♠2 | Pair
♣3,♥4,♥Q,♣Q,♣6 | Pair
♣3,♥4,♥Q,♣Q,♦3 | Two Pairs
♣3,♥4,♥Q,♠8,♦3 | Pair
♣3,♥4,♥Q,♥K,♦3 | Pair
♣3,♥4,♥Q,♠2,♦3 | Pair
♣3,♥4,♥Q,♣6,♦3 | Pair
♣3,♥4,♦5,♣Q,♦3 | Pair
♣3,♥4,♦5,♠8,♦3 | Pair
♣3,♥4,♦5,♥K,♦3 | Pair
♣3,♥4,♦5,♠2,♣6 | Straight
♣3,♥4,♦5,♠2,♦3 | Pair
♣3,♥4,♦5,♣6,♦3 | Pair
♣3,♥4,♣Q,♠8,♦3 | Pair
♣3,♥4,♣Q,♥K,♦3 | Pair
♣3,♥4,♣Q,♠2,♦3 | Pair
♣3,♥4,♣Q,♣6,♦3 | Pair
♣3,♥4,♠8,♥K,♦3 | Pair
♣3,♥4,♠8,♠2,♦3 | Pair
♣3,♥4,♠8,♣6,♦3 | Pair
♣3,♥4,♥K,♠2,♦3 | Pair
♣3,♥4,♥K,♣6,♦3 | Pair
♣3,♥4,♠2,♣6,♦3 | Pair
♣3,♥Q,♦5,♣Q,♠8 | Pair
♣3,♥Q,♦5,♣Q,♥K | Pair
♣3,♥Q,♦5,♣Q,♠2 | Pair
♣3,♥Q,♦5,♣Q,♣6 | Pair
♣3,♥Q,♦5,♣Q,♦3 | Two Pairs
♣3,♥Q,♦5,♠8,♦3 | Pair
♣3,♥Q,♦5,♥K,♦3 | Pair
♣3,♥Q,♦5,♠2,♦3 | Pair
♣3,♥Q,♦5,♣6,♦3 | Pair
♣3,♥Q,♣Q,♠8,♥K | Pair
♣3,♥Q,♣Q,♠8,♠2 | Pair
♣3,♥Q,♣Q,♠8,♣6 | Pair
♣3,♥Q,♣Q,♠8,♦3 | Two Pairs
♣3,♥Q,♣Q,♥K,♠2 | Pair
♣3,♥Q,♣Q,♥K,♣6 | Pair
♣3,♥Q,♣Q,♥K,♦3 | Two Pairs
♣3,♥Q,♣Q,♠2,♣6 | Pair
♣3,♥Q,♣Q,♠2,♦3 | Two Pairs
♣3,♥Q,♣Q,♣6,♦3 | Two Pairs
♣3,♥Q,♠8,♥K,♦3 | Pair
♣3,♥Q,♠8,♠2,♦3 | Pair
♣3,♥Q,♠8,♣6,♦3 | Pair
♣3,♥Q,♥K,♠2,♦3 | Pair
♣3,♥Q,♥K,♣6,♦3 | Pair
♣3,♥Q,♠2,♣6,♦3 | Pair
♣3,♦5,♣Q,♠8,♦3 | Pair
♣3,♦5,♣Q,♥K,♦3 | Pair
♣3,♦5,♣Q,♠2,♦3 | Pair
♣3,♦5,♣Q,♣6,♦3 | Pair
♣3,♦5,♠8,♥K,♦3 | Pair
♣3,♦5,♠8,♠2,♦3 | Pair
♣3,♦5,♠8,♣6,♦3 | Pair
♣3,♦5,♥K,♠2,♦3 | Pair
♣3,♦5,♥K,♣6,♦3 | Pair
♣3,♦5,♠2,♣6,♦3 | Pair
♣3,♣Q,♠8,♥K,♦3 | Pair
♣3,♣Q,♠8,♠2,♦3 | Pair
♣3,♣Q,♠8,♣6,♦3 | Pair
♣3,♣Q,♥K,♠2,♦3 | Pair
♣3,♣Q,♥K,♣6,♦3 | Pair
♣3,♣Q,♠2,♣6,♦3 | Pair
♣3,♠8,♥K,♠2,♦3 | Pair
♣3,♠8,♥K,♣6,♦3 | Pair
♣3,♠8,♠2,♣6,♦3 | Pair
♣3,♥K,♠2,♣6,♦3 | Pair
♥4,♥Q,♦5,♣Q,♠8 | Pair
♥4,♥Q,♦5,♣Q,♥K | Pair
♥4,♥Q,♦5,♣Q,♠2 | Pair
♥4,♥Q,♦5,♣Q,♣6 | Pair
♥4,♥Q,♦5,♣Q,♦3 | Pair
♥4,♥Q,♣Q,♠8,♥K | Pair
♥4,♥Q,♣Q,♠8,♠2 | Pair
♥4,♥Q,♣Q,♠8,♣6 | Pair
♥4,♥Q,♣Q,♠8,♦3 | Pair
♥4,♥Q,♣Q,♥K,♠2 | Pair
♥4,♥Q,♣Q,♥K,♣6 | Pair
♥4,♥Q,♣Q,♥K,♦3 | Pair
♥4,♥Q,♣Q,♠2,♣6 | Pair
♥4,♥Q,♣Q,♠2,♦3 | Pair
♥4,♥Q,♣Q,♣6,♦3 | Pair
♥4,♦5,♠2,♣6,♦3 | Straight
♥Q,♦5,♣Q,♠8,♥K | Pair
♥Q,♦5,♣Q,♠8,♠2 | Pair
♥Q,♦5,♣Q,♠8,♣6 | Pair
♥Q,♦5,♣Q,♠8,♦3 | Pair
♥Q,♦5,♣Q,♥K,♠2 | Pair
♥Q,♦5,♣Q,♥K,♣6 | Pair
♥Q,♦5,♣Q,♥K,♦3 | Pair
♥Q,♦5,♣Q,♠2,♣6 | Pair
♥Q,♦5,♣Q,♠2,♦3 | Pair
♥Q,♦5,♣Q,♣6,♦3 | Pair
♥Q,♣Q,♠8,♥K,♠2 | Pair
♥Q,♣Q,♠8,♥K,♣6 | Pair
♥Q,♣Q,♠8,♥K,♦3 | Pair
♥Q,♣Q,♠8,♠2,♣6 | Pair
♥Q,♣Q,♠8,♠2,♦3 | Pair
♥Q,♣Q,♠8,♣6,♦3 | Pair
♥Q,♣Q,♥K,♠2,♣6 | Pair
♥Q,♣Q,♥K,♠2,♦3 | Pair
♥Q,♣Q,♥K,♣6,♦3 | Pair
♥Q,♣Q,♠2,♣6,♦3 | Pair
