♥Q,♦A,♠6,♦7,♠7 | Pair
♥Q,♦A,♠5,♦7,♠7 | Pair
♥Q,♦A,♦7,♣4,♠7 | Pair
♥Q,♦A,♦7,♠8,♠7 | Pair
♥Q,♦A,♦7,♠7,♥3 | Pair
♥Q,♠6,♠5,♦7,♠7 | Pair
♥Q,♠6,♦7,♣4,♠7 | Pair
♥Q,♠6,♦7,♠8,♠7 | Pair
♥Q,♠6,♦7,♠7,♥3 | Pair
♥Q,♠5,♦7,♣4,♠7 | Pair
♥Q,♠5,♦7,♠8,♠7 | Pair
♥Q,♠5,♦7,♠7,♥3 | Pair
♥Q,♦7,♣4,♠8,♠7 | Pair
♥Q,♦7,♣4,♠7,♥3 | Pair
♥Q,♦7,♠8,♠7,♥3 | Pair
♦A,♠6,♠5,♦7,♠7 | Pair
♦A,♠6,♦7,♣4,♠7 | Pair
♦A,♠6,♦7,♠8,♠7 | Pair
♦A,♠6,♦7,♠7,♥3 | Pair
♦A,♠5,♦7,♣4,♠7 | Pair
♦A,♠5,♦7,♠8,♠7 | Pair
♦A,♠5,♦7,♠7,♥3 | Pair
♦A,♦7,♣4,♠8,♠7 | Pair
♦A,♦7,♣4,♠7,♥3 | Pair
♦A,♦7,♠8,♠7,♥3 | Pair
♠6,♠5,♦7,♣4,♠8 | Straight
♠6,♠5,♦7,♣4,♠7 | Pair
♠6,♠5,♦7,♣4,♥3 | Straight
♠6,♠5,♦7,♠8,♠7 | Pair
♠6,♠5,♦7,♠7,♥3 | Pair
♠6,♠5,♣4,♠8,♠7 | Straight
♠6,♠5,♣4,♠7,♥3 | Straight
♠6,♦7,♣4,♠8,♠7 | Pair
♠6,♦7,♣4,♠7,♥3 | Pair
♠6,♦7,♠8,♠7,♥3 | Pair
♠5,♦7,♣4,♠8,♠7 | Pair
♠5,♦7,♣4,♠7,♥3 | Pair
♠5,♦7,♠8,♠7,♥3 | Pair
♦7,♣4,♠8,♠7,♥3 | Pair
