♠K,♠8,♣9,♠5,♥K | Pair
♠K,♠8,♣9,♠5,♣K | Pair
♠K,♠8,♣9,♠5,♥9 | Pair
♠K,♠8,♣9,♠5,♣8 | Pair
♠K,♠8,♣9,♠5,♦8 | Pair
♠K,♠8,♣9,♠7,♣7 | Pair
♠K,♠8,♣9,♠7,♥K | Pair
♠K,♠8,♣9,♠7,♣K | Pair
♠K,♠8,♣9,♠7,♥9 | Pair
♠K,♠8,♣9,♠7,♣8 | Pair
♠K,♠8,♣9,♠7,♥7 | Pair
♠K,♠8,♣9,♠7,♦8 | Pair
♠K,♠8,♣9,♣4,♥K | Pair
♠K,♠8,♣9,♣4,♣K | Pair
♠K,♠8,♣9,♣4,♥9 | Pair
♠K,♠8,♣9,♣4,♣8 | Pair
♠K,♠8,♣9,♣4,♦8 | Pair
♠K,♠8,♣9,♣7,♥K | Pair
♠K,♠8,♣9,♣7,♣K | Pair
♠K,♠8,♣9,♣7,♥9 | Pair
♠K,♠8,♣9,♣7,♣8 | Pair
♠K,♠8,♣9,♣7,♥7 | Pair
♠K,♠8,♣9,♣7,♦8 | Pair
♠K,♠8,♣9,♥K,♣K | Three Of A Kind
♠K,♠8,♣9,♥K,♥9 | Two Pairs
♠K,♠8,♣9,♥K,♥6 | Pair
♠K,♠8,♣9,♥K,♣8 | Two Pairs
♠K,♠8,♣9,♥K,♥7 | Pair
♠K,♠8,♣9,♥K,♦8 | Two Pairs
♠K,♠8,♣9,♣K,♥9 | Two Pairs
♠K,♠8,♣9,♣K,♥6 | Pair
♠K,♠8,♣9,♣K,♣8 | Two Pairs
♠K,♠8,♣9,♣K,♥7 | Pair
♠K,♠8,♣9,♣K,♦8 | Two Pairs
♠K,♠8,♣9,♥9,♥6 | Pair
♠K,♠8,♣9,♥9,♣8 | Two Pairs
♠K,♠8,♣9,♥9,♥7 | Pair
♠K,♠8,♣9,♥9,♦8 | Two Pairs
♠K,♠8,♣9,♥6,♣8 | Pair
♠K,♠8,♣9,♥6,♦8 | Pair
♠K,♠8,♣9,♣8,♥7 | Pair
♠K,♠8,♣9,♣8,♦8 | Three Of A Kind
♠K,♠8,♣9,♥7,♦8 | Pair
♠K,♠8,♠5,♠7,♣7 | Pair
♠K,♠8,♠5,♠7,♥K | Pair
♠K,♠8,♠5,♠7,♣K | Pair
♠K,♠8,♠5,♠7,♣8 | Pair
♠K,♠8,♠5,♠7,♥7 | Pair
♠K,♠8,♠5,♠7,♦8 | Pair
♠K,♠8,♠5,♣4,♥K | Pair
♠K,♠8,♠5,♣4,♣K | Pair
♠K,♠8,♠5,♣4,♣8 | Pair
♠K,♠8,♠5,♣4,♦8 | Pair
♠K,♠8,♠5,♣7,♥K | Pair
♠K,♠8,♠5,♣7,♣K | Pair
♠K,♠8,♠5,♣7,♣8 | Pair
♠K,♠8,♠5,♣7,♥7 | Pair
♠K,♠8,♠5,♣7,♦8 | Pair
♠K,♠8,♠5,♥K,♣K | Three Of A Kind
♠K,♠8,♠5,♥K,♥9 | Pair
♠K,♠8,♠5,♥K,♥6 | Pair
♠K,♠8,♠5,♥K,♣8 | Two Pairs
♠K,♠8,♠5,♥K,♥7 | Pair
♠K,♠8,♠5,♥K,♦8 | Two Pairs
♠K,♠8,♠5,♣K,♥9 | Pair
♠K,♠8,♠5,♣K,♥6 | Pair
♠K,♠8,♠5,♣K,♣8 | Two Pairs
♠K,♠8,♠5,♣K,♥7 | Pair
♠K,♠8,♠5,♣K,♦8 | Two Pairs
♠K,♠8,♠5,♥9,♣8 | Pair
♠K,♠8,♠5,♥9,♦8 | Pair
♠K,♠8,♠5,♥6,♣8 | Pair
♠K,♠8,♠5,♥6,♦8 | Pair
♠K,♠8,♠5,♣8,♥7 | Pair
♠K,♠8,♠5,♣8,♦8 | Three Of A Kind
♠K,♠8,♠5,♥7,♦8 | Pair
♠K,♠8,♠7,♣4,♣7 | Pair
♠K,♠8,♠7,♣4,♥K | Pair
♠K,♠8,♠7,♣4,♣K | Pair
♠K,♠8,♠7,♣4,♣8 | Pair
♠K,♠8,♠7,♣4,♥7 | Pair
♠K,♠8,♠7,♣4,♦8 | Pair
