♦7,♠10,♥K,♣3,♥3 | Pair
♦7,♠10,♥K,♣3,♠7 | Pair
♦7,♠10,♥K,♣3,♣10 | Pair
♦7,♠10,♥K,♠9,♠7 | Pair
♦7,♠10,♥K,♠9,♣10 | Pair
♦7,♠10,♥K,♥3,♠7 | Pair
♦7,♠10,♥K,♥3,♣10 | Pair
♦7,♠10,♥K,♠7,♣A | Pair
♦7,♠10,♥K,♠7,♥4 | Pair
♦7,♠10,♥K,♠7,♣2 | Pair
♦7,♠10,♥K,♠7,♦Q | Pair
♦7,♠10,♥K,♠7,♣10 | Two Pairs
♦7,♠10,♥K,♠7,♠A | Pair
♦7,♠10,♥K,♣A,♣10 | Pair
♦7,♠10,♥K,♣A,♠A | Pair
♦7,♠10,♥K,♥4,♣10 | Pair
♦7,♠10,♥K,♣2,♣10 | Pair
♦7,♠10,♥K,♦Q,♣10 | Pair
♦7,♠10,♥K,♣10,♠A | Pair
♦7,♠10,♣3,♠9,♥3 | Pair
♦7,♠10,♣3,♠9,♠7 | Pair
♦7,♠10,♣3,♠9,♣10 | Pair
♦7,♠10,♣3,♥3,♠7 | Two Pairs
♦7,♠10,♣3,♥3,♣A | Pair
♦7,♠10,♣3,♥3,♥4 | Pair
♦7,♠10,♣3,♥3,♣2 | Pair
♦7,♠10,♣3,♥3,♦Q | Pair
♦7,♠10,♣3,♥3,♣10 | Two Pairs
♦7,♠10,♣3,♥3,♠A | Pair
♦7,♠10,♣3,♠7,♣A | Pair
♦7,♠10,♣3,♠7,♥4 | Pair
♦7,♠10,♣3,♠7,♣2 | Pair
♦7,♠10,♣3,♠7,♦Q | Pair
♦7,♠10,♣3,♠7,♣10 | Two Pairs
♦7,♠10,♣3,♠7,♠A | Pair
♦7,♠10,♣3,♣A,♣10 | Pair
♦7,♠10,♣3,♣A,♠A | Pair
♦7,♠10,♣3,♥4,♣10 | Pair
♦7,♠10,♣3,♣2,♣10 | Pair
♦7,♠10,♣3,♦Q,♣10 | Pair
♦7,♠10,♣3,♣10,♠A | Pair
♦7,♠10,♠9,♥3,♠7 | Pair
♦7,♠10,♠9,♥3,♣10 | Pair
♦7,♠10,♠9,♠7,♣A | Pair
♦7,♠10,♠9,♠7,♥4 | Pair
♦7,♠10,♠9,♠7,♣2 | Pair
♦7,♠10,♠9,♠7,♦Q | Pair
♦7,♠10,♠9,♠7,♣10 | Two Pairs
♦7,♠10,♠9,♠7,♠A | Pair
♦7,♠10,♠9,♣A,♣10 | Pair
♦7,♠10,♠9,♣A,♠A | Pair
♦7,♠10,♠9,♥4,♣10 | Pair
♦7,♠10,♠9,♣2,♣10 | Pair
♦7,♠10,♠9,♦Q,♣10 | Pair
♦7,♠10,♠9,♣10,♠A | Pair
♦7,♠10,♥3,♠7,♣A | Pair
♦7,♠10,♥3,♠7,♥4 | Pair
♦7,♠10,♥3,♠7,♣2 | Pair
♦7,♠10,♥3,♠7,♦Q | Pair
♦7,♠10,♥3,♠7,♣10 | Two Pairs
♦7,♠10,♥3,♠7,♠A | Pair
♦7,♠10,♥3,♣A,♣10 | Pair
♦7,♠10,♥3,♣A,♠A | Pair
♦7,♠10,♥3,♥4,♣10 | Pair
♦7,♠10,♥3,♣2,♣10 | Pair
♦7,♠10,♥3,♦Q,♣10 | Pair
♦7,♠10,♥3,♣10,♠A | Pair
♦7,♠10,♠7,♣A,♥4 | Pair
♦7,♠10,♠7,♣A,♣2 | Pair
♦7,♠10,♠7,♣A,♦Q | Pair
♦7,♠10,♠7,♣A,♣10 | Two Pairs
♦7,♠10,♠7,♣A,♠A | Two Pairs
♦7,♠10,♠7,♥4,♣2 | Pair
♦7,♠10,♠7,♥4,♦Q | Pair
♦7,♠10,♠7,♥4,♣10 | Two Pairs
♦7,♠10,♠7,♥4,♠A | Pair
♦7,♠10,♠7,♣2,♦Q | Pair
♦7,♠10,♠7,♣2,♣10 | Two Pairs
♦7,♠10,♠7,♣2,♠A | Pair
♦7,♠10,♠7,♦Q,♣10 | Two Pairs
♦7,♠10,♠7,♦Q,♠A | Pair
♦7,♠10,♠7,♣10,♠A | Two Pairs
♦7,♠10,♣A,♥4,♣10 | Pair
♦7,♠10,♣A,♥4,♠A | Pair
♦7,♠10,♣A,♣2,♣10 | Pair
♦7,♠10,♣A,♣2,♠A | Pair
♦7,♠10,♣A,♦Q,♣10 | Pair
♦7,♠10,♣A,♦Q,♠A | Pair
♦7,♠10,♣A,♣10,♠A | Two Pairs
♦7,♠10,♥4,♣2,♣10 | Pair
♦7,♠10,♥4,♦Q,♣10 | Pair
♦7,♠10,♥4,♣10,♠A | Pair
♦7,♠10,♣2,♦Q,♣10 | Pair
♦7,♠10,♣2,♣10,♠A | Pair
♦7,♠10,♦Q,♣10,♠A | Pair
♦7,♥K,♣3,♠9,♥3 | Pair
♦7,♥K,♣3,♠9,♠7 | Pair
♦7,♥K,♣3,♥3,♠7 | Two Pairs
♦7,♥K,♣3,♥3,♣A | Pair
♦7,♥K,♣3,♥3,♥4 | Pair
♦7,♥K,♣3,♥3,♣2 | Pair
♦7,♥K,♣3,♥3,♦Q | Pair
♦7,♥K,♣3,♥3,♣10 | Pair
♦7,♥K,♣3,♥3,♠A | Pair
♦7,♥K,♣3,♠7,♣A | Pair
♦7,♥K,♣3,♠7,♥4 | Pair
♦7,♥K,♣3,♠7,♣2 | Pair
♦7,♥K,♣3,♠7,♦Q | Pair
♦7,♥K,♣3,♠7,♣10 | Pair
♦7,♥K,♣3,♠7,♠A | Pair
♦7,♥K,♣3,♣A,♠A | Pair
♦7,♥K,♠9,♥3,♠7 | Pair
♦7,♥K,♠9,♠7,♣A | Pair
♦7,♥K,♠9,♠7,♥4 | Pair
♦7,♥K,♠9,♠7,♣2 | Pair
♦7,♥K,♠9,♠7,♦Q | Pair
♦7,♥K,♠9,♠7,♣10 | Pair
♦7,♥K,♠9,♠7,♠A | Pair
♦7,♥K,♠9,♣A,♠A | Pair
♦7,♥K,♥3,♠7,♣A | Pair
♦7,♥K,♥3,♠7,♥4 | Pair
♦7,♥K,♥3,♠7,♣2 | Pair
♦7,♥K,♥3,♠7,♦Q | Pair
♦7,♥K,♥3,♠7,♣10 | Pair
♦7,♥K,♥3,♠7,♠A | Pair
♦7,♥K,♥3,♣A,♠A | Pair
♦7,♥K,♠7,♣A,♥4 | Pair
♦7,♥K,♠7,♣A,♣2 | Pair
♦7,♥K,♠7,♣A,♦Q | Pair
♦7,♥K,♠7,♣A,♣10 | Pair
♦7,♥K,♠7,♣A,♠A | Two Pairs
♦7,♥K,♠7,♥4,♣2 | Pair
♦7,♥K,♠7,♥4,♦Q | Pair
♦7,♥K,♠7,♥4,♣10 | Pair
♦7,♥K,♠7,♥4,♠A | Pair
♦7,♥K,♠7,♣2,♦Q | Pair
♦7,♥K,♠7,♣2,♣10 | Pair
♦7,♥K,♠7,♣2,♠A | Pair
♦7,♥K,♠7,♦Q,♣10 | Pair
♦7,♥K,♠7,♦Q,♠A | Pair
♦7,♥K,♠7,♣10,♠A | Pair
♦7,♥K,♣A,♥4,♠A | Pair
♦7,♥K,♣A,♣2,♠A | Pair
♦7,♥K,♣A,♦Q,♠A | Pair
♦7,♥K,♣A,♣10,♠A | Pair
♦7,♣3,♠9,♥3,♠7 | Two Pairs
♦7,♣3,♠9,♥3,♣A | Pair
♦7,♣3,♠9,♥3,♥4 | Pair
♦7,♣3,♠9,♥3,♣2 | Pair
♦7,♣3,♠9,♥3,♦Q | Pair
♦7,♣3,♠9,♥3,♣10 | Pair
♦7,♣3,♠9,♥3,♠A | Pair
♦7,♣3,♠9,♠7,♣A | Pair
♦7,♣3,♠9,♠7,♥4 | Pair
♦7,♣3,♠9,♠7,♣2 | Pair
♦7,♣3,♠9,♠7,♦Q | Pair
♦7,♣3,♠9,♠7,♣10 | Pair
♦7,♣3,♠9,♠7,♠A | Pair
♦7,♣3,♠9,♣A,♠A | Pair
♦7,♣3,♥3,♠7,♣A | Two Pairs
♦7,♣3,♥3,♠7,♥4 | Two Pairs
♦7,♣3,♥3,♠7,♣2 | Two Pairs
♦7,♣3,♥3,♠7,♦Q | Two Pairs
♦7,♣3,♥3,♠7,♣10 | Two Pairs
♦7,♣3,♥3,♠7,♠A | Two Pairs
♦7,♣3,♥3,♣A,♥4 | Pair
