♣Q,♥4,♣4,♠J,♥10 | Pair
♣Q,♥4,♣4,♠J,♠8 | Pair
♣Q,♥4,♣4,♠J,♣K | Pair
♣Q,♥4,♣4,♠J,♥6 | Pair
♣Q,♥4,♣4,♠J,♠6 | Pair
♣Q,♥4,♣4,♠J,♦8 | Pair
♣Q,♥4,♣4,♠J,♣J | Two Pairs
♣Q,♥4,♣4,♠J,♦10 | Pair
♣Q,♥4,♣4,♠J,♥2 | Pair
♣Q,♥4,♣4,♥10,♠8 | Pair
♣Q,♥4,♣4,♥10,♣K | Pair
♣Q,♥4,♣4,♥10,♥6 | Pair
♣Q,♥4,♣4,♥10,♠6 | Pair
♣Q,♥4,♣4,♥10,♦8 | Pair
♣Q,♥4,♣4,♥10,♣J | Pair
♣Q,♥4,♣4,♥10,♦10 | Two Pairs
♣Q,♥4,♣4,♥10,♥2 | Pair
♣Q,♥4,♣4,♠8,♣K | Pair
♣Q,♥4,♣4,♠8,♥6 | Pair
♣Q,♥4,♣4,♠8,♠6 | Pair
♣Q,♥4,♣4,♠8,♦8 | Two Pairs
♣Q,♥4,♣4,♠8,♣J | Pair
♣Q,♥4,♣4,♠8,♦10 | Pair
♣Q,♥4,♣4,♠8,♥2 | Pair
♣Q,♥4,♣4,♣K,♥6 | Pair
♣Q,♥4,♣4,♣K,♠6 | Pair
♣Q,♥4,♣4,♣K,♦8 | Pair
♣Q,♥4,♣4,♣K,♣J | Pair
♣Q,♥4,♣4,♣K,♦10 | Pair
♣Q,♥4,♣4,♣K,♥2 | Pair
♣Q,♥4,♣4,♥6,♠6 | Two Pairs
♣Q,♥4,♣4,♥6,♦8 | Pair
♣Q,♥4,♣4,♥6,♣J | Pair
♣Q,♥4,♣4,♥6,♦10 | Pair
♣Q,♥4,♣4,♥6,♥2 | Pair
♣Q,♥4,♣4,♠6,♦8 | Pair
♣Q,♥4,♣4,♠6,♣J | Pair
♣Q,♥4,♣4,♠6,♦10 | Pair
♣Q,♥4,♣4,♠6,♥2 | Pair
♣Q,♥4,♣4,♦8,♣J | Pair
♣Q,♥4,♣4,♦8,♦10 | Pair
♣Q,♥4,♣4,♦8,♥2 | Pair
♣Q,♥4,♣4,♣J,♦10 | Pair
♣Q,♥4,♣4,♣J,♥2 | Pair
♣Q,♥4,♣4,♦10,♥2 | Pair
♣Q,♥4,♠J,♥10,♣J | Pair
♣Q,♥4,♠J,♥10,♦10 | Pair
♣Q,♥4,♠J,♠8,♦8 | Pair
♣Q,♥4,♠J,♠8,♣J | Pair
♣Q,♥4,♠J,♣K,♣J | Pair
♣Q,♥4,♠J,♥6,♠6 | Pair
♣Q,♥4,♠J,♥6,♣J | Pair
♣Q,♥4,♠J,♠6,♣J | Pair
♣Q,♥4,♠J,♦8,♣J | Pair
♣Q,♥4,♠J,♣J,♦10 | Pair
♣Q,♥4,♠J,♣J,♥2 | Pair
♣Q,♥4,♥10,♠8,♦8 | Pair
♣Q,♥4,♥10,♠8,♦10 | Pair
♣Q,♥4,♥10,♣K,♦10 | Pair
♣Q,♥4,♥10,♥6,♠6 | Pair
♣Q,♥4,♥10,♥6,♦10 | Pair
♣Q,♥4,♥10,♠6,♦10 | Pair
♣Q,♥4,♥10,♦8,♦10 | Pair
♣Q,♥4,♥10,♣J,♦10 | Pair
♣Q,♥4,♥10,♦10,♥2 | Pair
♣Q,♥4,♠8,♣K,♦8 | Pair
♣Q,♥4,♠8,♥6,♠6 | Pair
♣Q,♥4,♠8,♥6,♦8 | Pair
♣Q,♥4,♠8,♠6,♦8 | Pair
♣Q,♥4,♠8,♦8,♣J | Pair
♣Q,♥4,♠8,♦8,♦10 | Pair
♣Q,♥4,♠8,♦8,♥2 | Pair
♣Q,♥4,♣K,♥6,♠6 | Pair
♣Q,♥4,♥6,♠6,♦8 | Pair
♣Q,♥4,♥6,♠6,♣J | Pair
♣Q,♥4,♥6,♠6,♦10 | Pair
♣Q,♥4,♥6,♠6,♥2 | Pair
♣Q,♣4,♠J,♥10,♣J | Pair
♣Q,♣4,♠J,♥10,♦10 | Pair
♣Q,♣4,♠J,♠8,♦8 | Pair
♣Q,♣4,♠J,♠8,♣J | Pair
♣Q,♣4,♠J,♣K,♣J | Pair
♣Q,♣4,♠J,♥6,♠6 | Pair
♣Q,♣4,♠J,♥6,♣J | Pair
♣Q,♣4,♠J,♠6,♣J | Pair
♣Q,♣4,♠J,♦8,♣J | Pair
♣Q,♣4,♠J,♣J,♦10 | Pair
♣Q,♣4,♠J,♣J,♥2 | Pair
♣Q,♣4,♥10,♠8,♦8 | Pair
♣Q,♣4,♥10,♠8,♦10 | Pair
♣Q,♣4,♥10,♣K,♦10 | Pair
♣Q,♣4,♥10,♥6,♠6 | Pair
♣Q,♣4,♥10,♥6,♦10 | Pair
♣Q,♣4,♥10,♠6,♦10 | Pair
♣Q,♣4,♥10,♦8,♦10 | Pair
♣Q,♣4,♥10,♣J,♦10 | Pair
♣Q,♣4,♥10,♦10,♥2 | Pair
♣Q,♣4,♠8,♣K,♦8 | Pair
♣Q,♣4,♠8,♥6,♠6 | Pair
♣Q,♣4,♠8,♥6,♦8 | Pair
♣Q,♣4,♠8,♠6,♦8 | Pair
♣Q,♣4,♠8,♦8,♣J | Pair
♣Q,♣4,♠8,♦8,♦10 | Pair
♣Q,♣4,♠8,♦8,♥2 | Pair
♣Q,♣4,♣K,♥6,♠6 | Pair
♣Q,♣4,♥6,♠6,♦8 | Pair
♣Q,♣4,♥6,♠6,♣J | Pair
♣Q,♣4,♥6,♠6,♦10 | Pair
♣Q,♣4,♥6,♠6,♥2 | Pair
♣Q,♠J,♥10,♠8,♦8 | Pair
♣Q,♠J,♥10,♠8,♣J | Pair
♣Q,♠J,♥10,♠8,♦10 | Pair
♣Q,♠J,♥10,♣K,♣J | Pair
♣Q,♠J,♥10,♣K,♦10 | Pair
♣Q,♠J,♥10,♥6,♠6 | Pair
♣Q,♠J,♥10,♥6,♣J | Pair
♣Q,♠J,♥10,♥6,♦10 | Pair
♣Q,♠J,♥10,♠6,♣J | Pair
♣Q,♠J,♥10,♠6,♦10 | Pair
♣Q,♠J,♥10,♦8,♣J | Pair
♣Q,♠J,♥10,♦8,♦10 | Pair
