♠K,♦J,♦8,♦9,♣K | Pair
♠K,♦J,♦8,♦9,♠J | Pair
♠K,♦J,♦8,♠6,♣K | Pair
♠K,♦J,♦8,♠6,♠J | Pair
♠K,♦J,♦8,♣K,♠Q | Pair
♠K,♦J,♦8,♣K,♠5 | Pair
♠K,♦J,♦8,♣K,♠J | Two Pairs
♠K,♦J,♦8,♣K,♥4 | Pair
♠K,♦J,♦8,♠Q,♠J | Pair
♠K,♦J,♦8,♠5,♠J | Pair
♠K,♦J,♦8,♠J,♥4 | Pair
♠K,♦J,♦9,♠6,♣K | Pair
♠K,♦J,♦9,♠6,♠J | Pair
♠K,♦J,♦9,♣K,♠Q | Pair
♠K,♦J,♦9,♣K,♠5 | Pair
♠K,♦J,♦9,♣K,♠J | Two Pairs
♠K,♦J,♦9,♣K,♥4 | Pair
♠K,♦J,♦9,♠Q,♠J | Pair
♠K,♦J,♦9,♠5,♠J | Pair
♠K,♦J,♦9,♠J,♥4 | Pair
♠K,♦J,♠6,♣K,♠Q | Pair
♠K,♦J,♠6,♣K,♠5 | Pair
♠K,♦J,♠6,♣K,♠J | Two Pairs
♠K,♦J,♠6,♣K,♥4 | Pair
♠K,♦J,♠6,♠Q,♠J | Pair
♠K,♦J,♠6,♠5,♠J | Pair
♠K,♦J,♠6,♠J,♥4 | Pair
♠K,♦J,♣K,♠Q,♠5 | Pair
♠K,♦J,♣K,♠Q,♠J | Two Pairs
♠K,♦J,♣K,♠Q,♥4 | Pair
♠K,♦J,♣K,♠5,♠J | Two Pairs
♠K,♦J,♣K,♠5,♥4 | Pair
♠K,♦J,♣K,♠J,♥4 | Two Pairs
♠K,♦J,♠Q,♠5,♠J | Pair
♠K,♦J,♠Q,♠J,♥4 | Pair
♠K,♦J,♠5,♠J,♥4 | Pair
♠K,♦8,♦9,♠6,♣K | Pair
♠K,♦8,♦9,♣K,♠Q | Pair
♠K,♦8,♦9,♣K,♠5 | Pair
♠K,♦8,♦9,♣K,♠J | Pair
♠K,♦8,♦9,♣K,♥4 | Pair
♠K,♦8,♠6,♣K,♠Q | Pair
♠K,♦8,♠6,♣K,♠5 | Pair
♠K,♦8,♠6,♣K,♠J | Pair
♠K,♦8,♠6,♣K,♥4 | Pair
♠K,♦8,♣K,♠Q,♠5 | Pair
♠K,♦8,♣K,♠Q,♠J | Pair
♠K,♦8,♣K,♠Q,♥4 | Pair
♠K,♦8,♣K,♠5,♠J | Pair
♠K,♦8,♣K,♠5,♥4 | Pair
♠K,♦8,♣K,♠J,♥4 | Pair
♠K,♦9,♠6,♣K,♠Q | Pair
♠K,♦9,♠6,♣K,♠5 | Pair
♠K,♦9,♠6,♣K,♠J | Pair
♠K,♦9,♠6,♣K,♥4 | Pair
♠K,♦9,♣K,♠Q,♠5 | Pair
♠K,♦9,♣K,♠Q,♠J | Pair
♠K,♦9,♣K,♠Q,♥4 | Pair
♠K,♦9,♣K,♠5,♠J | Pair
♠K,♦9,♣K,♠5,♥4 | Pair
♠K,♦9,♣K,♠J,♥4 | Pair
♠K,♠6,♣K,♠Q,♠5 | Pair
♠K,♠6,♣K,♠Q,♠J | Pair
♠K,♠6,♣K,♠Q,♥4 | Pair
♠K,♠6,♣K,♠5,♠J | Pair
♠K,♠6,♣K,♠5,♥4 | Pair
♠K,♠6,♣K,♠J,♥4 | Pair
♠K,♠6,♠Q,♠5,♠J | Flush
♠K,♣K,♠Q,♠5,♠J | Pair
♠K,♣K,♠Q,♠5,♥4 | Pair
♠K,♣K,♠Q,♠J,♥4 | Pair
♠K,♣K,♠5,♠J,♥4 | Pair
♦J,♦8,♦9,♠6,♠J | Pair
♦J,♦8,♦9,♣K,♠J | Pair
♦J,♦8,♦9,♠Q,♠J | Pair
♦J,♦8,♦9,♠5,♠J | Pair
♦J,♦8,♦9,♠J,♥4 | Pair
♦J,♦8,♠6,♣K,♠J | Pair
♦J,♦8,♠6,♠Q,♠J | Pair
♦J,♦8,♠6,♠5,♠J | Pair
♦J,♦8,♠6,♠J,♥4 | Pair
♦J,♦8,♣K,♠Q,♠J | Pair
♦J,♦8,♣K,♠5,♠J | Pair
♦J,♦8,♣K,♠J,♥4 | Pair
♦J,♦8,♠Q,♠5,♠J | Pair
♦J,♦8,♠Q,♠J,♥4 | Pair
♦J,♦8,♠5,♠J,♥4 | Pair
♦J,♦9,♠6,♣K,♠J | Pair
♦J,♦9,♠6,♠Q,♠J | Pair
♦J,♦9,♠6,♠5,♠J | Pair
♦J,♦9,♠6,♠J,♥4 | Pair
♦J,♦9,♣K,♠Q,♠J | Pair
♦J,♦9,♣K,♠5,♠J | Pair
♦J,♦9,♣K,♠J,♥4 | Pair
♦J,♦9,♠Q,♠5,♠J | Pair
♦J,♦9,♠Q,♠J,♥4 | Pair
♦J,♦9,♠5,♠J,♥4 | Pair
♦J,♠6,♣K,♠Q,♠J | Pair
♦J,♠6,♣K,♠5,♠J | Pair
♦J,♠6,♣K,♠J,♥4 | Pair
♦J,♠6,♠Q,♠5,♠J | Pair
♦J,♠6,♠Q,♠J,♥4 | Pair
♦J,♠6,♠5,♠J,♥4 | Pair
♦J,♣K,♠Q,♠5,♠J | Pair
♦J,♣K,♠Q,♠J,♥4 | Pair
♦J,♣K,♠5,♠J,♥4 | Pair
♦J,♠Q,♠5,♠J,♥4 | Pair
