♣7,♠Q,♠3,♠4,♣4 | Pair
♣7,♠Q,♠9,♠4,♣4 | Pair
♣7,♠Q,♠4,♣8,♣4 | Pair
♣7,♠Q,♠4,♣4,♠10 | Pair
♣7,♠Q,♠4,♣4,♦6 | Pair
♣7,♠3,♠9,♠4,♣4 | Pair
♣7,♠3,♠4,♣8,♣4 | Pair
♣7,♠3,♠4,♣4,♠10 | Pair
♣7,♠3,♠4,♣4,♦6 | Pair
♣7,♠9,♠4,♣8,♣4 | Pair
♣7,♠9,♠4,♣4,♠10 | Pair
♣7,♠9,♠4,♣4,♦6 | Pair
♣7,♠9,♣8,♠10,♦6 | Straight
♣7,♠4,♣8,♣4,♠10 | Pair
♣7,♠4,♣8,♣4,♦6 | Pair
♣7,♠4,♣4,♠10,♦6 | Pair
♠Q,♠3,♠9,♠4,♣4 | Pair
♠Q,♠3,♠9,♠4,♠10 | Flush
♠Q,♠3,♠4,♣8,♣4 | Pair
♠Q,♠3,♠4,♣4,♠10 | Pair
♠Q,♠3,♠4,♣4,♦6 | Pair
♠Q,♠9,♠4,♣8,♣4 | Pair
♠Q,♠9,♠4,♣4,♠10 | Pair
♠Q,♠9,♠4,♣4,♦6 | Pair
♠Q,♠4,♣8,♣4,♠10 | Pair
♠Q,♠4,♣8,♣4,♦6 | Pair
♠Q,♠4,♣4,♠10,♦6 | Pair
♠3,♠9,♠4,♣8,♣4 | Pair
♠3,♠9,♠4,♣4,♠10 | Pair
♠3,♠9,♠4,♣4,♦6 | Pair
♠3,♠4,♣8,♣4,♠10 | Pair
♠3,♠4,♣8,♣4,♦6 | Pair
♠3,♠4,♣4,♠10,♦6 | Pair
♠9,♠4,♣8,♣4,♠10 | Pair
♠9,♠4,♣8,♣4,♦6 | Pair
♠9,♠4,♣4,♠10,♦6 | Pair
♠4,♣8,♣4,♠10,♦6 | Pair
