♦J,♠2,♠3,♠8,♥J | Pair
♦J,♠2,♠3,♠8,♣3 | Pair
♦J,♠2,♠3,♠8,♣2 | Pair
♦J,♠2,♠3,♠8,♥2 | Pair
♦J,♠2,♠3,♦K,♥J | Pair
♦J,♠2,♠3,♦K,♥K | Pair
♦J,♠2,♠3,♦K,♣3 | Pair
♦J,♠2,♠3,♦K,♣2 | Pair
♦J,♠2,♠3,♦K,♥2 | Pair
♦J,♠2,♠3,♥5,♥J | Pair
♦J,♠2,♠3,♥5,♣3 | Pair
♦J,♠2,♠3,♥5,♣2 | Pair
♦J,♠2,♠3,♥5,♥2 | Pair
♦J,♠2,♠3,♥J,♥K | Pair
♦J,♠2,♠3,♥J,♣3 | Two Pairs
♦J,♠2,♠3,♥J,♣2 | Two Pairs
♦J,♠2,♠3,♥J,♥4 | Pair
♦J,♠2,♠3,♥J,♥2 | Two Pairs
♦J,♠2,♠3,♥K,♣3 | Pair
♦J,♠2,♠3,♥K,♣2 | Pair
♦J,♠2,♠3,♥K,♥2 | Pair
♦J,♠2,♠3,♣3,♣2 | Two Pairs
♦J,♠2,♠3,♣3,♥4 | Pair
♦J,♠2,♠3,♣3,♥2 | Two Pairs
♦J,♠2,♠3,♣2,♥4 | Pair
♦J,♠2,♠3,♣2,♥2 | Three Of A Kind
♦J,♠2,♠3,♥4,♥2 | Pair
♦J,♠2,♠8,♦K,♥J | Pair
♦J,♠2,♠8,♦K,♥K | Pair
♦J,♠2,♠8,♦K,♣2 | Pair
♦J,♠2,♠8,♦K,♥2 | Pair
♦J,♠2,♠8,♥5,♥J | Pair
♦J,♠2,♠8,♥5,♣2 | Pair
♦J,♠2,♠8,♥5,♥2 | Pair
♦J,♠2,♠8,♥J,♥K | Pair
♦J,♠2,♠8,♥J,♣3 | Pair
♦J,♠2,♠8,♥J,♣2 | Two Pairs
♦J,♠2,♠8,♥J,♥4 | Pair
♦J,♠2,♠8,♥J,♥2 | Two Pairs
♦J,♠2,♠8,♥K,♣2 | Pair
♦J,♠2,♠8,♥K,♥2 | Pair
♦J,♠2,♠8,♣3,♣2 | Pair
♦J,♠2,♠8,♣3,♥2 | Pair
♦J,♠2,♠8,♣2,♥4 | Pair
♦J,♠2,♠8,♣2,♥2 | Three Of A Kind
♦J,♠2,♠8,♥4,♥2 | Pair
♦J,♠2,♦K,♥5,♥J | Pair
♦J,♠2,♦K,♥5,♥K | Pair
♦J,♠2,♦K,♥5,♣2 | Pair
♦J,♠2,♦K,♥5,♥2 | Pair
♦J,♠2,♦K,♥J,♥K | Two Pairs
♦J,♠2,♦K,♥J,♣3 | Pair
♦J,♠2,♦K,♥J,♣2 | Two Pairs
♦J,♠2,♦K,♥J,♥4 | Pair
♦J,♠2,♦K,♥J,♥2 | Two Pairs
♦J,♠2,♦K,♥K,♣3 | Pair
♦J,♠2,♦K,♥K,♣2 | Two Pairs
♦J,♠2,♦K,♥K,♥4 | Pair
♦J,♠2,♦K,♥K,♥2 | Two Pairs
♦J,♠2,♦K,♣3,♣2 | Pair
♦J,♠2,♦K,♣3,♥2 | Pair
♦J,♠2,♦K,♣2,♥4 | Pair
♦J,♠2,♦K,♣2,♥2 | Three Of A Kind
♦J,♠2,♦K,♥4,♥2 | Pair
♦J,♠2,♥5,♥J,♥K | Pair
♦J,♠2,♥5,♥J,♣3 | Pair
♦J,♠2,♥5,♥J,♣2 | Two Pairs
♦J,♠2,♥5,♥J,♥4 | Pair
♦J,♠2,♥5,♥J,♥2 | Two Pairs
♦J,♠2,♥5,♥K,♣2 | Pair
♦J,♠2,♥5,♥K,♥2 | Pair
♦J,♠2,♥5,♣3,♣2 | Pair
♦J,♠2,♥5,♣3,♥2 | Pair
♦J,♠2,♥5,♣2,♥4 | Pair
♦J,♠2,♥5,♣2,♥2 | Three Of A Kind
♦J,♠2,♥5,♥4,♥2 | Pair
♦J,♠2,♥J,♥K,♣3 | Pair
♦J,♠2,♥J,♥K,♣2 | Two Pairs
♦J,♠2,♥J,♥K,♥4 | Pair
♦J,♠2,♥J,♥K,♥2 | Two Pairs
♦J,♠2,♥J,♣3,♣2 | Two Pairs
♦J,♠2,♥J,♣3,♥4 | Pair
♦J,♠2,♥J,♣3,♥2 | Two Pairs
♦J,♠2,♥J,♣2,♥4 | Two Pairs
♦J,♠2,♥J,♣2,♥2 | Full House
♦J,♠2,♥J,♥4,♥2 | Two Pairs
♦J,♠2,♥K,♣3,♣2 | Pair
♦J,♠2,♥K,♣3,♥2 | Pair
♦J,♠2,♥K,♣2,♥4 | Pair
♦J,♠2,♥K,♣2,♥2 | Three Of A Kind
♦J,♠2,♥K,♥4,♥2 | Pair
♦J,♠2,♣3,♣2,♥4 | Pair
♦J,♠2,♣3,♣2,♥2 | Three Of A Kind
♦J,♠2,♣3,♥4,♥2 | Pair
♦J,♠2,♣2,♥4,♥2 | Three Of A Kind
♦J,♠3,♠8,♦K,♥J | Pair
♦J,♠3,♠8,♦K,♥K | Pair
♦J,♠3,♠8,♦K,♣3 | Pair
♦J,♠3,♠8,♥5,♥J | Pair
♦J,♠3,♠8,♥5,♣3 | Pair
♦J,♠3,♠8,♥J,♥K | Pair
♦J,♠3,♠8,♥J,♣3 | Two Pairs
♦J,♠3,♠8,♥J,♣2 | Pair
♦J,♠3,♠8,♥J,♥4 | Pair
♦J,♠3,♠8,♥J,♥2 | Pair
♦J,♠3,♠8,♥K,♣3 | Pair
♦J,♠3,♠8,♣3,♣2 | Pair
♦J,♠3,♠8,♣3,♥4 | Pair
♦J,♠3,♠8,♣3,♥2 | Pair
♦J,♠3,♠8,♣2,♥2 | Pair
♦J,♠3,♦K,♥5,♥J | Pair
♦J,♠3,♦K,♥5,♥K | Pair
♦J,♠3,♦K,♥5,♣3 | Pair
♦J,♠3,♦K,♥J,♥K | Two Pairs
♦J,♠3,♦K,♥J,♣3 | Two Pairs
♦J,♠3,♦K,♥J,♣2 | Pair
♦J,♠3,♦K,♥J,♥4 | Pair
♦J,♠3,♦K,♥J,♥2 | Pair
♦J,♠3,♦K,♥K,♣3 | Two Pairs
♦J,♠3,♦K,♥K,♣2 | Pair
♦J,♠3,♦K,♥K,♥4 | Pair
♦J,♠3,♦K,♥K,♥2 | Pair
♦J,♠3,♦K,♣3,♣2 | Pair
♦J,♠3,♦K,♣3,♥4 | Pair
♦J,♠3,♦K,♣3,♥2 | Pair
♦J,♠3,♦K,♣2,♥2 | Pair
♦J,♠3,♥5,♥J,♥K | Pair
♦J,♠3,♥5,♥J,♣3 | Two Pairs
♦J,♠3,♥5,♥J,♣2 | Pair
♦J,♠3,♥5,♥J,♥4 | Pair
♦J,♠3,♥5,♥J,♥2 | Pair
♦J,♠3,♥5,♥K,♣3 | Pair
♦J,♠3,♥5,♣3,♣2 | Pair
♦J,♠3,♥5,♣3,♥4 | Pair
♦J,♠3,♥5,♣3,♥2 | Pair
♦J,♠3,♥5,♣2,♥2 | Pair
♦J,♠3,♥J,♥K,♣3 | Two Pairs
♦J,♠3,♥J,♥K,♣2 | Pair
♦J,♠3,♥J,♥K,♥4 | Pair
♦J,♠3,♥J,♥K,♥2 | Pair
♦J,♠3,♥J,♣3,♣2 | Two Pairs
♦J,♠3,♥J,♣3,♥4 | Two Pairs
♦J,♠3,♥J,♣3,♥2 | Two Pairs
♦J,♠3,♥J,♣2,♥4 | Pair
♦J,♠3,♥J,♣2,♥2 | Two Pairs
♦J,♠3,♥J,♥4,♥2 | Pair
♦J,♠3,♥K,♣3,♣2 | Pair
♦J,♠3,♥K,♣3,♥4 | Pair
♦J,♠3,♥K,♣3,♥2 | Pair
♦J,♠3,♥K,♣2,♥2 | Pair
♦J,♠3,♣3,♣2,♥4 | Pair
♦J,♠3,♣3,♣2,♥2 | Two Pairs
♦J,♠3,♣3,♥4,♥2 | Pair
♦J,♠3,♣2,♥4,♥2 | Pair
♦J,♠8,♦K,♥5,♥J | Pair
♦J,♠8,♦K,♥5,♥K | Pair
♦J,♠8,♦K,♥J,♥K | Two Pairs
♦J,♠8,♦K,♥J,♣3 | Pair
♦J,♠8,♦K,♥J,♣2 | Pair
♦J,♠8,♦K,♥J,♥4 | Pair
♦J,♠8,♦K,♥J,♥2 | Pair
♦J,♠8,♦K,♥K,♣3 | Pair
♦J,♠8,♦K,♥K,♣2 | Pair
♦J,♠8,♦K,♥K,♥4 | Pair
♦J,♠8,♦K,♥K,♥2 | Pair
♦J,♠8,♦K,♣2,♥2 | Pair
♦J,♠8,♥5,♥J,♥K | Pair
♦J,♠8,♥5,♥J,♣3 | Pair
♦J,♠8,♥5,♥J,♣2 | Pair
♦J,♠8,♥5,♥J,♥4 | Pair
♦J,♠8,♥5,♥J,♥2 | Pair
♦J,♠8,♥5,♣2,♥2 | Pair
♦J,♠8,♥J,♥K,♣3 | Pair
♦J,♠8,♥J,♥K,♣2 | Pair
♦J,♠8,♥J,♥K,♥4 | Pair
♦J,♠8,♥J,♥K,♥2 | Pair
♦J,♠8,♥J,♣3,♣2 | Pair
♦J,♠8,♥J,♣3,♥4 | Pair
♦J,♠8,♥J,♣3,♥2 | Pair
♦J,♠8,♥J,♣2,♥4 | Pair
♦J,♠8,♥J,♣2,♥2 | Two Pairs
♦J,♠8,♥J,♥4,♥2 | Pair
♦J,♠8,♥K,♣2,♥2 | Pair
♦J,♠8,♣3,♣2,♥2 | Pair
♦J,♠8,♣2,♥4,♥2 | Pair
♦J,♦K,♥5,♥J,♥K | Two Pairs
♦J,♦K,♥5,♥J,♣3 | Pair
♦J,♦K,♥5,♥J,♣2 | Pair
♦J,♦K,♥5,♥J,♥4 | Pair
♦J,♦K,♥5,♥J,♥2 | Pair
♦J,♦K,♥5,♥K,♣3 | Pair
♦J,♦K,♥5,♥K,♣2 | Pair
♦J,♦K,♥5,♥K,♥4 | Pair
♦J,♦K,♥5,♥K,♥2 | Pair
♦J,♦K,♥5,♣2,♥2 | Pair
♦J,♦K,♥J,♥K,♣3 | Two Pairs
♦J,♦K,♥J,♥K,♣2 | Two Pairs
♦J,♦K,♥J,♥K,♥4 | Two Pairs
♦J,♦K,♥J,♥K,♥2 | Two Pairs
♦J,♦K,♥J,♣3,♣2 | Pair
♦J,♦K,♥J,♣3,♥4 | Pair
♦J,♦K,♥J,♣3,♥2 | Pair
♦J,♦K,♥J,♣2,♥4 | Pair
♦J,♦K,♥J,♣2,♥2 | Two Pairs
♦J,♦K,♥J,♥4,♥2 | Pair
♦J,♦K,♥K,♣3,♣2 | Pair
♦J,♦K,♥K,♣3,♥4 | Pair
♦J,♦K,♥K,♣3,♥2 | Pair
♦J,♦K,♥K,♣2,♥4 | Pair
♦J,♦K,♥K,♣2,♥2 | Two Pairs
♦J,♦K,♥K,♥4,♥2 | Pair
♦J,♦K,♣3,♣2,♥2 | Pair
♦J,♦K,♣2,♥4,♥2 | Pair
♦J,♥5,♥J,♥K,♣3 | Pair
♦J,♥5,♥J,♥K,♣2 | Pair
♦J,♥5,♥J,♥K,♥4 | Pair
♦J,♥5,♥J,♥K,♥2 | Pair
♦J,♥5,♥J,♣3,♣2 | Pair
♦J,♥5,♥J,♣3,♥4 | Pair
♦J,♥5,♥J,♣3,♥2 | Pair
♦J,♥5,♥J,♣2,♥4 | Pair
♦J,♥5,♥J,♣2,♥2 | Two Pairs
♦J,♥5,♥J,♥4,♥2 | Pair
♦J,♥5,♥K,♣2,♥2 | Pair
♦J,♥5,♣3,♣2,♥2 | Pair
♦J,♥5,♣2,♥4,♥2 | Pair
♦J,♥J,♥K,♣3,♣2 | Pair
♦J,♥J,♥K,♣3,♥4 | Pair
♦J,♥J,♥K,♣3,♥2 | Pair
♦J,♥J,♥K,♣2,♥4 | Pair
♦J,♥J,♥K,♣2,♥2 | Two Pairs
♦J,♥J,♥K,♥4,♥2 | Pair
♦J,♥J,♣3,♣2,♥4 | Pair
♦J,♥J,♣3,♣2,♥2 | Two Pairs
♦J,♥J,♣3,♥4,♥2 | Pair
♦J,♥J,♣2,♥4,♥2 | Two Pairs
♦J,♥K,♣3,♣2,♥2 | Pair
♦J,♥K,♣2,♥4,♥2 | Pair
