♠8,♠2,♥10,♦9,♦8 | Pair
♠8,♠2,♥10,♠7,♦8 | Pair
♠8,♠2,♥10,♥J,♦8 | Pair
♠8,♠2,♥10,♦K,♦8 | Pair
♠8,♠2,♥10,♣4,♦8 | Pair
♠8,♠2,♥10,♣4,♥4 | Pair
♠8,♠2,♥10,♦8,♥A | Pair
♠8,♠2,♥10,♦8,♥4 | Pair
♠8,♠2,♦9,♠7,♦8 | Pair
♠8,♠2,♦9,♥J,♦8 | Pair
♠8,♠2,♦9,♦K,♦8 | Pair
♠8,♠2,♦9,♣4,♦8 | Pair
♠8,♠2,♦9,♣4,♥4 | Pair
♠8,♠2,♦9,♦8,♥A | Pair
♠8,♠2,♦9,♦8,♥4 | Pair
♠8,♠2,♠7,♥J,♦8 | Pair
♠8,♠2,♠7,♦K,♦8 | Pair
♠8,♠2,♠7,♣4,♦8 | Pair
♠8,♠2,♠7,♣4,♥4 | Pair
♠8,♠2,♠7,♦8,♥A | Pair
♠8,♠2,♠7,♦8,♥4 | Pair
♠8,♠2,♥J,♦K,♦8 | Pair
♠8,♠2,♥J,♣4,♦8 | Pair
♠8,♠2,♥J,♣4,♥4 | Pair
♠8,♠2,♥J,♦8,♥A | Pair
♠8,♠2,♥J,♦8,♥4 | Pair
♠8,♠2,♦K,♣4,♦8 | Pair
♠8,♠2,♦K,♣4,♥4 | Pair
♠8,♠2,♦K,♦8,♥A | Pair
♠8,♠2,♦K,♦8,♥4 | Pair
♠8,♠2,♣4,♦8,♥A | Pair
♠8,♠2,♣4,♦8,♥4 | Two Pairs
♠8,♠2,♣4,♥A,♥4 | Pair
♠8,♠2,♦8,♥A,♥4 | Pair
♠8,♥10,♦9,♠7,♥J | Straight
♠8,♥10,♦9,♠7,♦8 | Pair
♠8,♥10,♦9,♥J,♦8 | Pair
♠8,♥10,♦9,♦K,♦8 | Pair
♠8,♥10,♦9,♣4,♦8 | Pair
♠8,♥10,♦9,♣4,♥4 | Pair
♠8,♥10,♦9,♦8,♥A | Pair
♠8,♥10,♦9,♦8,♥4 | Pair
♠8,♥10,♠7,♥J,♦8 | Pair
♠8,♥10,♠7,♦K,♦8 | Pair
♠8,♥10,♠7,♣4,♦8 | Pair
♠8,♥10,♠7,♣4,♥4 | Pair
♠8,♥10,♠7,♦8,♥A | Pair
♠8,♥10,♠7,♦8,♥4 | Pair
♠8,♥10,♥J,♦K,♦8 | Pair
♠8,♥10,♥J,♣4,♦8 | Pair
♠8,♥10,♥J,♣4,♥4 | Pair
♠8,♥10,♥J,♦8,♥A | Pair
♠8,♥10,♥J,♦8,♥4 | Pair
♠8,♥10,♦K,♣4,♦8 | Pair
♠8,♥10,♦K,♣4,♥4 | Pair
♠8,♥10,♦K,♦8,♥A | Pair
♠8,♥10,♦K,♦8,♥4 | Pair
♠8,♥10,♣4,♦8,♥A | Pair
♠8,♥10,♣4,♦8,♥4 | Two Pairs
♠8,♥10,♣4,♥A,♥4 | Pair
♠8,♥10,♦8,♥A,♥4 | Pair
♠8,♦9,♠7,♥J,♦8 | Pair
♠8,♦9,♠7,♦K,♦8 | Pair
♠8,♦9,♠7,♣4,♦8 | Pair
♠8,♦9,♠7,♣4,♥4 | Pair
♠8,♦9,♠7,♦8,♥A | Pair
♠8,♦9,♠7,♦8,♥4 | Pair
♠8,♦9,♥J,♦K,♦8 | Pair
♠8,♦9,♥J,♣4,♦8 | Pair
♠8,♦9,♥J,♣4,♥4 | Pair
♠8,♦9,♥J,♦8,♥A | Pair
♠8,♦9,♥J,♦8,♥4 | Pair
♠8,♦9,♦K,♣4,♦8 | Pair
♠8,♦9,♦K,♣4,♥4 | Pair
♠8,♦9,♦K,♦8,♥A | Pair
♠8,♦9,♦K,♦8,♥4 | Pair
♠8,♦9,♣4,♦8,♥A | Pair
♠8,♦9,♣4,♦8,♥4 | Two Pairs
♠8,♦9,♣4,♥A,♥4 | Pair
♠8,♦9,♦8,♥A,♥4 | Pair
♠8,♠7,♥J,♦K,♦8 | Pair
♠8,♠7,♥J,♣4,♦8 | Pair
♠8,♠7,♥J,♣4,♥4 | Pair
♠8,♠7,♥J,♦8,♥A | Pair
♠8,♠7,♥J,♦8,♥4 | Pair
♠8,♠7,♦K,♣4,♦8 | Pair
♠8,♠7,♦K,♣4,♥4 | Pair
♠8,♠7,♦K,♦8,♥A | Pair
♠8,♠7,♦K,♦8,♥4 | Pair
♠8,♠7,♣4,♦8,♥A | Pair
♠8,♠7,♣4,♦8,♥4 | Two Pairs
♠8,♠7,♣4,♥A,♥4 | Pair
♠8,♠7,♦8,♥A,♥4 | Pair
♠8,♥J,♦K,♣4,♦8 | Pair
♠8,♥J,♦K,♣4,♥4 | Pair
♠8,♥J,♦K,♦8,♥A | Pair
♠8,♥J,♦K,♦8,♥4 | Pair
♠8,♥J,♣4,♦8,♥A | Pair
♠8,♥J,♣4,♦8,♥4 | Two Pairs
♠8,♥J,♣4,♥A,♥4 | Pair
♠8,♥J,♦8,♥A,♥4 | Pair
♠8,♦K,♣4,♦8,♥A | Pair
♠8,♦K,♣4,♦8,♥4 | Two Pairs
♠8,♦K,♣4,♥A,♥4 | Pair
♠8,♦K,♦8,♥A,♥4 | Pair
♠8,♣4,♦8,♥A,♥4 | Two Pairs
♠2,♥10,♦9,♣4,♥4 | Pair
♠2,♥10,♠7,♣4,♥4 | Pair
♠2,♥10,♥J,♣4,♥4 | Pair
♠2,♥10,♦K,♣4,♥4 | Pair
♠2,♥10,♣4,♦8,♥4 | Pair
♠2,♥10,♣4,♥A,♥4 | Pair
♠2,♦9,♠7,♣4,♥4 | Pair
♠2,♦9,♥J,♣4,♥4 | Pair
♠2,♦9,♦K,♣4,♥4 | Pair
♠2,♦9,♣4,♦8,♥4 | Pair
♠2,♦9,♣4,♥A,♥4 | Pair
♠2,♠7,♥J,♣4,♥4 | Pair
♠2,♠7,♦K,♣4,♥4 | Pair
♠2,♠7,♣4,♦8,♥4 | Pair
♠2,♠7,♣4,♥A,♥4 | Pair
♠2,♥J,♦K,♣4,♥4 | Pair
♠2,♥J,♣4,♦8,♥4 | Pair
♠2,♥J,♣4,♥A,♥4 | Pair
♠2,♦K,♣4,♦8,♥4 | Pair
♠2,♦K,♣4,♥A,♥4 | Pair
♠2,♣4,♦8,♥A,♥4 | Pair
♥10,♦9,♠7,♥J,♦8 | Straight
♥10,♦9,♠7,♣4,♥4 | Pair
♥10,♦9,♥J,♣4,♥4 | Pair
♥10,♦9,♦K,♣4,♥4 | Pair
♥10,♦9,♣4,♦8,♥4 | Pair
♥10,♦9,♣4,♥A,♥4 | Pair
♥10,♠7,♥J,♣4,♥4 | Pair
♥10,♠7,♦K,♣4,♥4 | Pair
♥10,♠7,♣4,♦8,♥4 | Pair
♥10,♠7,♣4,♥A,♥4 | Pair
♥10,♥J,♦K,♣4,♥4 | Pair
♥10,♥J,♣4,♦8,♥4 | Pair
♥10,♥J,♣4,♥A,♥4 | Pair
♥10,♦K,♣4,♦8,♥4 | Pair
♥10,♦K,♣4,♥A,♥4 | Pair
♥10,♣4,♦8,♥A,♥4 | Pair
♦9,♠7,♥J,♣4,♥4 | Pair
♦9,♠7,♦K,♣4,♥4 | Pair
♦9,♠7,♣4,♦8,♥4 | Pair
♦9,♠7,♣4,♥A,♥4 | Pair
♦9,♥J,♦K,♣4,♥4 | Pair
♦9,♥J,♣4,♦8,♥4 | Pair
♦9,♥J,♣4,♥A,♥4 | Pair
♦9,♦K,♣4,♦8,♥4 | Pair
♦9,♦K,♣4,♥A,♥4 | Pair
♦9,♣4,♦8,♥A,♥4 | Pair
♠7,♥J,♦K,♣4,♥4 | Pair
♠7,♥J,♣4,♦8,♥4 | Pair
♠7,♥J,♣4,♥A,♥4 | Pair
♠7,♦K,♣4,♦8,♥4 | Pair
♠7,♦K,♣4,♥A,♥4 | Pair
♠7,♣4,♦8,♥A,♥4 | Pair
♥J,♦K,♣4,♦8,♥4 | Pair
♥J,♦K,♣4,♥A,♥4 | Pair
♥J,♣4,♦8,♥A,♥4 | Pair
♦K,♣4,♦8,♥A,♥4 | Pair
