♣J,♦5,♠Q,♦6,♣6 | Pair
♣J,♦5,♠Q,♦6,♥J | Pair
♣J,♦5,♠Q,♦8,♥J | Pair
♣J,♦5,♠Q,♣2,♥J | Pair
♣J,♦5,♠Q,♣6,♥J | Pair
♣J,♦5,♠Q,♣7,♥J | Pair
♣J,♦5,♦6,♦8,♣6 | Pair
♣J,♦5,♦6,♦8,♥J | Pair
♣J,♦5,♦6,♣2,♣6 | Pair
♣J,♦5,♦6,♣2,♥J | Pair
♣J,♦5,♦6,♣6,♣7 | Pair
♣J,♦5,♦6,♣6,♥J | Two Pairs
♣J,♦5,♦6,♣7,♥J | Pair
♣J,♦5,♦8,♣2,♥J | Pair
♣J,♦5,♦8,♣6,♥J | Pair
♣J,♦5,♦8,♣7,♥J | Pair
♣J,♦5,♣2,♣6,♥J | Pair
♣J,♦5,♣2,♣7,♥J | Pair
♣J,♦5,♣6,♣7,♥J | Pair
♣J,♠Q,♦6,♦8,♣6 | Pair
♣J,♠Q,♦6,♦8,♥J | Pair
♣J,♠Q,♦6,♣2,♣6 | Pair
♣J,♠Q,♦6,♣2,♥J | Pair
♣J,♠Q,♦6,♣6,♣7 | Pair
♣J,♠Q,♦6,♣6,♥J | Two Pairs
♣J,♠Q,♦6,♣7,♥J | Pair
♣J,♠Q,♦8,♣2,♥J | Pair
♣J,♠Q,♦8,♣6,♥J | Pair
♣J,♠Q,♦8,♣7,♥J | Pair
♣J,♠Q,♣2,♣6,♥J | Pair
♣J,♠Q,♣2,♣7,♥J | Pair
♣J,♠Q,♣6,♣7,♥J | Pair
♣J,♦6,♦8,♣2,♣6 | Pair
♣J,♦6,♦8,♣2,♥J | Pair
♣J,♦6,♦8,♣6,♣7 | Pair
♣J,♦6,♦8,♣6,♥J | Two Pairs
♣J,♦6,♦8,♣7,♥J | Pair
♣J,♦6,♣2,♣6,♣7 | Pair
♣J,♦6,♣2,♣6,♥J | Two Pairs
♣J,♦6,♣2,♣7,♥J | Pair
♣J,♦6,♣6,♣7,♥J | Two Pairs
♣J,♦8,♣2,♣6,♥J | Pair
♣J,♦8,♣2,♣7,♥J | Pair
♣J,♦8,♣6,♣7,♥J | Pair
♣J,♣2,♣6,♣7,♥J | Pair
♦5,♠Q,♦6,♦8,♣6 | Pair
♦5,♠Q,♦6,♣2,♣6 | Pair
♦5,♠Q,♦6,♣6,♣7 | Pair
♦5,♠Q,♦6,♣6,♥J | Pair
♦5,♦6,♦8,♣2,♣6 | Pair
♦5,♦6,♦8,♣6,♣7 | Pair
♦5,♦6,♦8,♣6,♥J | Pair
♦5,♦6,♣2,♣6,♣7 | Pair
♦5,♦6,♣2,♣6,♥J | Pair
♦5,♦6,♣6,♣7,♥J | Pair
♠Q,♦6,♦8,♣2,♣6 | Pair
♠Q,♦6,♦8,♣6,♣7 | Pair
♠Q,♦6,♦8,♣6,♥J | Pair
♠Q,♦6,♣2,♣6,♣7 | Pair
♠Q,♦6,♣2,♣6,♥J | Pair
♠Q,♦6,♣6,♣7,♥J | Pair
♦6,♦8,♣2,♣6,♣7 | Pair
♦6,♦8,♣2,♣6,♥J | Pair
♦6,♦8,♣6,♣7,♥J | Pair
♦6,♣2,♣6,♣7,♥J | Pair
