♣8,♦4,♥A,♦3,♠A | Pair
♣8,♦4,♥A,♠6,♠A | Pair
♣8,♦4,♥A,♠6,♥6 | Pair
♣8,♦4,♥A,♠2,♠A | Pair
♣8,♦4,♥A,♠2,♦2 | Pair
♣8,♦4,♥A,♠9,♠A | Pair
♣8,♦4,♥A,♠9,♦9 | Pair
♣8,♦4,♥A,♠A,♦9 | Pair
♣8,♦4,♥A,♠A,♦2 | Pair
♣8,♦4,♥A,♠A,♥6 | Pair
♣8,♦4,♦3,♠6,♥6 | Pair
♣8,♦4,♦3,♠2,♦2 | Pair
♣8,♦4,♦3,♠9,♦9 | Pair
♣8,♦4,♠6,♠2,♦2 | Pair
♣8,♦4,♠6,♠2,♥6 | Pair
♣8,♦4,♠6,♠9,♦9 | Pair
♣8,♦4,♠6,♠9,♥6 | Pair
♣8,♦4,♠6,♠A,♥6 | Pair
♣8,♦4,♠6,♦9,♥6 | Pair
♣8,♦4,♠6,♦2,♥6 | Pair
♣8,♦4,♠2,♠9,♦9 | Pair
♣8,♦4,♠2,♠9,♦2 | Pair
♣8,♦4,♠2,♠A,♦2 | Pair
♣8,♦4,♠2,♦9,♦2 | Pair
♣8,♦4,♠2,♦2,♥6 | Pair
♣8,♦4,♠9,♠A,♦9 | Pair
♣8,♦4,♠9,♦9,♦2 | Pair
♣8,♦4,♠9,♦9,♥6 | Pair
♣8,♥A,♦3,♠6,♠A | Pair
♣8,♥A,♦3,♠6,♥6 | Pair
♣8,♥A,♦3,♠2,♠A | Pair
♣8,♥A,♦3,♠2,♦2 | Pair
♣8,♥A,♦3,♠9,♠A | Pair
♣8,♥A,♦3,♠9,♦9 | Pair
♣8,♥A,♦3,♠A,♦9 | Pair
♣8,♥A,♦3,♠A,♦2 | Pair
♣8,♥A,♦3,♠A,♥6 | Pair
♣8,♥A,♠6,♠2,♠A | Pair
♣8,♥A,♠6,♠2,♦2 | Pair
♣8,♥A,♠6,♠2,♥6 | Pair
♣8,♥A,♠6,♠9,♠A | Pair
♣8,♥A,♠6,♠9,♦9 | Pair
♣8,♥A,♠6,♠9,♥6 | Pair
♣8,♥A,♠6,♠A,♦9 | Pair
♣8,♥A,♠6,♠A,♦2 | Pair
♣8,♥A,♠6,♠A,♥6 | Two Pairs
♣8,♥A,♠6,♦9,♥6 | Pair
♣8,♥A,♠6,♦2,♥6 | Pair
♣8,♥A,♠2,♠9,♠A | Pair
♣8,♥A,♠2,♠9,♦9 | Pair
♣8,♥A,♠2,♠9,♦2 | Pair
♣8,♥A,♠2,♠A,♦9 | Pair
♣8,♥A,♠2,♠A,♦2 | Two Pairs
♣8,♥A,♠2,♠A,♥6 | Pair
♣8,♥A,♠2,♦9,♦2 | Pair
♣8,♥A,♠2,♦2,♥6 | Pair
♣8,♥A,♠9,♠A,♦9 | Two Pairs
♣8,♥A,♠9,♠A,♦2 | Pair
♣8,♥A,♠9,♠A,♥6 | Pair
♣8,♥A,♠9,♦9,♦2 | Pair
♣8,♥A,♠9,♦9,♥6 | Pair
♣8,♥A,♠A,♦9,♦2 | Pair
♣8,♥A,♠A,♦9,♥6 | Pair
♣8,♥A,♠A,♦2,♥6 | Pair
♣8,♦3,♠6,♠2,♦2 | Pair
♣8,♦3,♠6,♠2,♥6 | Pair
♣8,♦3,♠6,♠9,♦9 | Pair
♣8,♦3,♠6,♠9,♥6 | Pair
♣8,♦3,♠6,♠A,♥6 | Pair
♣8,♦3,♠6,♦9,♥6 | Pair
♣8,♦3,♠6,♦2,♥6 | Pair
♣8,♦3,♠2,♠9,♦9 | Pair
♣8,♦3,♠2,♠9,♦2 | Pair
♣8,♦3,♠2,♠A,♦2 | Pair
♣8,♦3,♠2,♦9,♦2 | Pair
♣8,♦3,♠2,♦2,♥6 | Pair
♣8,♦3,♠9,♠A,♦9 | Pair
♣8,♦3,♠9,♦9,♦2 | Pair
♣8,♦3,♠9,♦9,♥6 | Pair
