♥2,♠Q,♣8,♠7,♥8 | Pair
♥2,♠Q,♣8,♠7,♣7 | Pair
♥2,♠Q,♣8,♠7,♣Q | Pair
♥2,♠Q,♣8,♠7,♦8 | Pair
♥2,♠Q,♣8,♦6,♥6 | Pair
♥2,♠Q,♣8,♦6,♥8 | Pair
♥2,♠Q,♣8,♦6,♣Q | Pair
♥2,♠Q,♣8,♦6,♦8 | Pair
♥2,♠Q,♣8,♥6,♥8 | Pair
♥2,♠Q,♣8,♥6,♣Q | Pair
♥2,♠Q,♣8,♥6,♦8 | Pair
♥2,♠Q,♣8,♠5,♥8 | Pair
♥2,♠Q,♣8,♠5,♣Q | Pair
♥2,♠Q,♣8,♠5,♦8 | Pair
♥2,♠Q,♣8,♥8,♣7 | Pair
♥2,♠Q,♣8,♥8,♣Q | Two Pairs
♥2,♠Q,♣8,♥8,♦8 | Three Of A Kind
♥2,♠Q,♣8,♣7,♣Q | Pair
♥2,♠Q,♣8,♣7,♦8 | Pair
♥2,♠Q,♣8,♣Q,♦8 | Two Pairs
♥2,♠Q,♠7,♦6,♥6 | Pair
♥2,♠Q,♠7,♦6,♣7 | Pair
♥2,♠Q,♠7,♦6,♣Q | Pair
♥2,♠Q,♠7,♥6,♣7 | Pair
♥2,♠Q,♠7,♥6,♣Q | Pair
♥2,♠Q,♠7,♠5,♣7 | Pair
♥2,♠Q,♠7,♠5,♣Q | Pair
♥2,♠Q,♠7,♥8,♣7 | Pair
♥2,♠Q,♠7,♥8,♣Q | Pair
♥2,♠Q,♠7,♥8,♦8 | Pair
♥2,♠Q,♠7,♣7,♣Q | Two Pairs
♥2,♠Q,♠7,♣7,♦8 | Pair
♥2,♠Q,♠7,♣Q,♦8 | Pair
♥2,♠Q,♦6,♥6,♠5 | Pair
♥2,♠Q,♦6,♥6,♥8 | Pair
♥2,♠Q,♦6,♥6,♣7 | Pair
♥2,♠Q,♦6,♥6,♣Q | Two Pairs
♥2,♠Q,♦6,♥6,♦8 | Pair
