♥4,♥K,♦7,♣2,♦2 | Pair
♥4,♥K,♦7,♣2,♦K | Pair
♥4,♥K,♦7,♦2,♦K | Pair
♥4,♥K,♦7,♥5,♦K | Pair
♥4,♥K,♦7,♠9,♦K | Pair
♥4,♥K,♦7,♣8,♦K | Pair
♥4,♥K,♦7,♥Q,♦K | Pair
♥4,♥K,♦7,♣3,♦K | Pair
♥4,♥K,♣2,♦2,♥5 | Pair
♥4,♥K,♣2,♦2,♠9 | Pair
♥4,♥K,♣2,♦2,♣8 | Pair
♥4,♥K,♣2,♦2,♥Q | Pair
♥4,♥K,♣2,♦2,♣3 | Pair
♥4,♥K,♣2,♦2,♦K | Two Pairs
♥4,♥K,♣2,♥5,♦K | Pair
♥4,♥K,♣2,♠9,♦K | Pair
♥4,♥K,♣2,♣8,♦K | Pair
♥4,♥K,♣2,♥Q,♦K | Pair
♥4,♥K,♣2,♣3,♦K | Pair
♥4,♥K,♦2,♥5,♦K | Pair
♥4,♥K,♦2,♠9,♦K | Pair
♥4,♥K,♦2,♣8,♦K | Pair
♥4,♥K,♦2,♥Q,♦K | Pair
♥4,♥K,♦2,♣3,♦K | Pair
♥4,♥K,♥5,♠9,♦K | Pair
♥4,♥K,♥5,♣8,♦K | Pair
♥4,♥K,♥5,♥Q,♦K | Pair
♥4,♥K,♥5,♣3,♦K | Pair
♥4,♥K,♠9,♣8,♦K | Pair
♥4,♥K,♠9,♥Q,♦K | Pair
♥4,♥K,♠9,♣3,♦K | Pair
♥4,♥K,♣8,♥Q,♦K | Pair
♥4,♥K,♣8,♣3,♦K | Pair
♥4,♥K,♥Q,♣3,♦K | Pair
♥4,♦7,♣2,♦2,♥5 | Pair
♥4,♦7,♣2,♦2,♠9 | Pair
♥4,♦7,♣2,♦2,♣8 | Pair
♥4,♦7,♣2,♦2,♥Q | Pair
♥4,♦7,♣2,♦2,♣3 | Pair
♥4,♦7,♣2,♦2,♦K | Pair
♥4,♣2,♦2,♥5,♠9 | Pair
♥4,♣2,♦2,♥5,♣8 | Pair
♥4,♣2,♦2,♥5,♥Q | Pair
♥4,♣2,♦2,♥5,♣3 | Pair
♥4,♣2,♦2,♥5,♦K | Pair
♥4,♣2,♦2,♠9,♣8 | Pair
♥4,♣2,♦2,♠9,♥Q | Pair
♥4,♣2,♦2,♠9,♣3 | Pair
